CN,geometry_type,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn_geometry
1.0,"Square antiprism, Square-face capped trigonal prism",3.0,24,1,2.466797496297583,2.466797496297583,0.0,1.0,1.0
1.0,"Square-face capped trigonal prism, Trigonal prism",3.0,4,1,2.25159972270406,2.25159972270406,0.0,1.0,1.0
2.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",3.0,8,2,2.276972214604061,2.2976601016348406,0.020687887030779534,1.0,1.0
2.0,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",3.0,4,1,2.2414421671871545,2.2665884235109615,0.02514625632380696,1.0,1.0
2.0,"Square-face bicapped trigonal prism, Cube, Square-face capped trigonal prism",3.0,4,2,2.2667964785601766,2.2893138956017833,0.022517417041606202,1.0,1.0
2.0,"Square-face bicapped trigonal prism, Face-capped octahedron, Octahedron",3.0,4,1,2.397730062625974,2.552371372812538,0.15464131018656452,1.0,1.0
2.0,"Square-face bicapped trigonal prism, Octahedron",3.0,4,1,2.4673213847952757,2.5531414516136755,0.08582006681839965,1.0,1.0
2.0,no_data,3.0,4,1,2.2931426621126825,2.3074174451469056,0.014274783034223248,1.0,1.0
3.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",3.0,16,2,2.1984482128980587,2.268529030809198,0.06919288877164194,1.0,1.0
3.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",3.0,8,1,2.2503864475316577,2.2865770914010803,0.0324484185107696,1.0,1.0
3.0,"Square-face bicapped trigonal prism, Cube, Square-face capped trigonal prism",3.0,8,2,2.1865379437741694,2.257837272645366,0.06553525895118077,1.0,1.0
3.0,"Square-face bicapped trigonal prism, Face-capped octahedron, Octahedron",3.0,6,1,2.266904756061779,2.2757997243767467,0.011494455759214527,1.0,1.0
3.0,"Square-face capped trigonal prism, Square antiprism",3.0,4,1,2.2455384383336026,2.2928115595814305,0.04355932791983448,1.0,1.0
3.0,"Square-face capped trigonal prism, Trigonal prism",3.0,4,1,2.2498401390057334,2.2634027764312,0.014952432265019536,1.0,1.0
3.0,Tricapped triangular prism (three square-face caps),3.0,8,1,2.401838820046023,2.4439856146586294,0.044664912432664766,1.0,1.0
3.0,"Trigonal prism, Tricapped triangular prism (three square-face caps)",3.0,8,1,2.3057121139015093,2.403415453259864,0.06908669380486293,1.0,1.0
3.0,no_data,3.0,8,1,2.2069227180035176,2.273270061523099,0.05936328123118186,1.0,1.0
4.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism",3.0,48,2,2.222688038682598,2.2921463256287384,0.05070978663845457,1.0,1.0
4.0,"Cube, Square-face bicapped trigonal prism, Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",3.0,4,1,2.2404528916661945,2.293488530355429,0.046267216104928836,1.0,1.0
4.0,Dodecahedron with triangular faces - p2345 plane normalized,3.0,4,1,2.275344266700879,2.3801785499606627,0.07531588792083549,1.0,1.0
4.0,Square antiprism,3.0,4,1,2.4162836051496903,2.493892715330733,0.07086314015842811,1.0,1.0
4.0,"Square antiprism, Dodecahedron with triangular faces - p2345 plane normalized",3.0,6,1,2.2933419132100554,2.2933419132100554,3.70155110660459e-16,1.0,1.0
4.0,"Square-face bicapped trigonal prism, Cube, Square-face capped trigonal prism",3.0,20,2,2.215675806176786,2.2866695476608436,0.050495747202592034,1.0,1.0
4.0,"Square-face bicapped trigonal prism, Face-capped octahedron, Octahedron",3.0,2,1,2.2845747225475352,2.3367162596757307,0.038337306299559046,1.0,1.0
4.0,"Square-face bicapped trigonal prism, Square-face capped trigonal prism",3.0,2,1,2.3199821297998238,2.3992604172022216,0.055620977642150626,1.0,1.0
4.0,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",3.0,1,1,,,,,1.0
4.0,Tetrahedron,3.0,24,6,2.128311190554792,2.1599435804086506,0.027011199487743234,0.3333333333333333,1.0
4.0,Tricapped triangular prism (three square-face caps),3.0,34,4,2.4236769490463845,2.4502554488505734,0.029303327055559436,1.0,1.0
4.0,no_data,3.0,16,2,2.238156921688276,2.2814928212779764,0.030935461378717704,1.0,1.0
5.0,Octahedron,3.0,6,2,2.221948568299844,2.2493967160264696,0.017349582360719623,1.0,1.0
5.0,Pentagonal bipyramid,3.0,14,5,2.2855234092945356,2.3454041947787454,0.05473232196297834,1.0,1.0
5.0,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",3.0,4,1,2.3245580146376352,2.401998094944817,0.058237770123579426,1.0,1.0
5.0,"Pentagonal bipyramid, Square-face capped trigonal prism",3.0,1,1,,,,,1.0
5.0,Square antiprism,3.0,1,1,,,,,1.0
5.0,Square pyramid,3.0,2,1,2.132491320926688,2.2228519566752114,0.04518031787426202,0.2,1.0
5.0,"Square pyramid, Octahedron",3.0,1,1,2.1089102506905455,2.2391078922806713,0.07202100179772013,1.0,1.0
5.0,"Square pyramid, Trigonal bipyramid",3.0,12,1,2.1927509237036387,2.2438743948048416,0.03456252405194458,1.0,1.0
5.0,"Square-face capped trigonal prism, Square antiprism",3.0,2,1,2.2641632317069247,2.3165659183475364,0.04636965555268304,1.0,1.0
5.0,"Trigonal bipyramid, Face-capped octahedron",3.0,1,1,2.130745926624951,2.24259379872865,0.06528689117093855,0.4,1.0
6.0,Cube,3.0,1,1,,,,,1.0
6.0,"Cube, Face-capped octahedron, Bicapped octahedron (cap faces with one edge in common), Dodecahedron with triangular faces",3.0,1,1,,,,,1.0
6.0,"Cube, Hexagonal bipyramid, Pentagonal bipyramid",3.0,1,1,,,,,1.0
6.0,"Cube, Hexagonal bipyramid, Square-face capped trigonal prism, Octahedron",3.0,2,1,2.2604529996752474,2.263356345894512,0.004105951599546211,1.0,1.0
6.0,"Cube, Pentagonal bipyramid",3.0,1,1,,,,,1.0
6.0,Dodecahedron with triangular faces - p2345 plane normalized,3.0,16,8,2.3430217299731724,2.4362196282018354,0.12067854971903079,1.0,1.0
6.0,"Face-capped octahedron, Octahedron",3.0,4,1,2.175513424527014,2.2969809689924596,0.0870654168690235,1.0,1.0
6.0,"Face-capped octahedron, Square-face capped trigonal prism",3.0,1,1,,,,,1.0
