CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown
0.0,2,2,3.0,inf,s_avg > 1,3+:1.0000
1.0,3,2,3.0,3.0,s_avg > 1,3+:1.0000
2.0,8,8,3.0,1.5,s_avg > 1,3+:1.0000
3.0,12,11,3.0,1.0,s_avg ≤ 1,3+:1.0000
4.0,27,23,3.0,0.75,s_avg ≤ 1,3+:1.0000
5.0,16,15,3.0,0.6,s_avg ≤ 1,3+:1.0000
6.0,329,325,3.0,0.5,s_avg ≤ 1,3+:1.0000
7.0,123,123,3.0,0.42857142857142855,s_avg ≤ 1,3+:1.0000
8.0,260,250,3.0,0.375,s_avg ≤ 1,3+:1.0000
9.0,19,19,3.0,0.3333333333333333,s_avg ≤ 1,3+:1.0000
10.0,6,6,3.0,0.3,s_avg ≤ 1,3+:1.0000
11.0,1,1,3.0,0.2727272727272727,s_avg ≤ 1,3+:1.0000
12.0,2,2,3.0,0.25,s_avg ≤ 1,3+:1.0000
