CN,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean
1.0,28,2,2.436054957212794,2.436054957212794,0.0,1.0
2.0,28,8,2.3171967406413407,2.3663075417079353,0.04911080106659423,1.0
3.0,70,11,2.2509899799735993,2.30709720187375,0.051126978786946484,1.0
4.0,165,23,2.262164791501384,2.31286509103765,0.03988558254251337,0.9024390243902439
5.0,44,15,2.2374577991785594,2.2958824186084152,0.04377283834729086,0.9476190476190476
6.0,1636,325,2.1916072027567677,2.2626577834023047,0.050911685956866966,1.0
7.0,734,123,2.2526923451703955,2.360576203450668,0.10106619535452775,1.0
8.0,957,250,2.2879419535305314,2.418989888875729,0.10390877313625467,1.0
9.0,54,19,2.3267267712545143,2.4657132179317895,0.11850141234707805,1.0
10.0,19,6,2.3882998010615384,2.513796771055011,0.09466703563769853,1.0
11.0,1,1,,,,
12.0,4,2,2.4597677019617556,2.6148813375424975,0.09768924812414273,1.0
