material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zn_wyckoff,num_Zn_chemenvs,CN,element,charge_range,is_single_charge
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,4.0,Zn,0.0,True
mp-1006588,Zn3In2O6,2.0471492745017894,0.0533781647808174,"[4.0, 5.0]",2.0,2.0,2.0,"Tetrahedron, Trigonal bipyramid","4f, 2e",2,5.0,Zn,0.0,True
mp-1019612,Cs4ZnO3,1.9507402622429644,-0.1048022079347103,[3.0],2.0,2.0,2.0,Trigonal plane,4e,1,3.0,Zn,0.0,True
mp-1019723,CsZn4(BO3)3,1.7674781401419053,0.3148933833337172,[4.0],2.0,2.0,2.0,Tetrahedron,4g,1,4.0,Zn,0.0,True
mp-1019730,EuZn(BO2)5,1.74500551689132,0.4110248118090093,[6.0],2.0,2.0,2.0,Trigonal prism,4e,1,6.0,Zn,0.0,True
mp-1019786,K3Zn(BO2)5,1.8092292367279388,0.3039659541312671,[4.0],2.0,2.0,2.0,Tetrahedron,4e,1,4.0,Zn,0.0,True
mp-1019787,K2NaZn(BO2)5,1.7980776065004516,0.2863131530785084,[4.0],2.0,2.0,2.0,Tetrahedron,4f,1,4.0,Zn,0.0,True
mp-1019791,K2Zn(PO3)4,1.5022422594526947,0.586736130040863,[6.0],2.0,2.0,2.0,Octahedron,2a,1,6.0,Zn,0.0,True
mp-1019968,LaZn(BO2)5,1.1492722746704975,0.9494909128817076,[6.0],2.0,2.0,2.0,Trigonal prism,4e,1,6.0,Zn,0.0,True
mp-1020160,Na3Zn(BO2)5,1.8964262687291389,0.1372271833325584,[4.0],2.0,2.0,2.0,Tetrahedron,8c,1,4.0,Zn,0.0,True
mp-1020181,Na2ZnB6O11,1.6829561735291254,0.5853269899983633,[3.0],2.0,2.0,2.0,Trigonal bipyramid,2e,1,3.0,Zn,0.0,True
mp-1020643,Rb3Zn(BO2)5,1.760436254338566,0.3317209510383267,[4.0],2.0,2.0,2.0,Tetrahedron,4e,1,4.0,Zn,0.0,True
mp-10321,La2ZnRhO6,1.9357669265540167,0.1656112091277154,[6.0],2.0,2.0,2.0,Octahedron,2b,1,6.0,Zn,0.0,True
mp-1040979,Zn(NiO2)2,1.8712849892204595,0.1677519230372897,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,4.0,Zn,0.0,True
mp-1040979,Zn(NiO2)2,1.8712849892204595,0.1677519230372897,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,6.0,Zn,0.0,True
mp-1040983,V2ZnO4,1.8364072337766228,0.264332652960226,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","1c, 1b, 1a",2,4.0,Zn,0.0,True
mp-1040983,V2ZnO4,1.8364072337766228,0.264332652960226,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron","1c, 1b, 1a",2,6.0,Zn,0.0,True
mp-1041069,Mn2ZnO4,1.7953756315612854,0.3239987508871523,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,4.0,Zn,0.0,True
mp-1041069,Mn2ZnO4,1.7953756315612854,0.3239987508871523,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,6.0,Zn,0.0,True
mp-1041340,Mn2ZnO4,1.8557501745005864,0.2422936656827321,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,4.0,Zn,0.0,True
mp-1041340,Mn2ZnO4,1.8557501745005864,0.2422936656827321,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",1a,2,6.0,Zn,0.0,True
mp-1041392,V2Zn(CuO4)2,1.153000607495271,0.9198422360010292,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1041525,Mn3Zn3(AsO4)4,1.8220399088637929,0.3082036829293536,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid","4e, 2a",2,5.0,Zn,0.0,True
mp-1041525,Mn3Zn3(AsO4)4,1.8220399088637929,0.3082036829293536,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid","4e, 2a",2,6.0,Zn,0.0,True
mp-1041706,Zn3Fe3(AsO4)4,1.847964940174036,0.2775745152507957,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid","4e, 2a",2,5.0,Zn,0.0,True
mp-1041706,Zn3Fe3(AsO4)4,1.847964940174036,0.2775745152507957,"[5.0, 6.0]",2.0,2.0,2.0,"Octahedron, Trigonal bipyramid","4e, 2a",2,6.0,Zn,0.0,True
mp-1041735,V2ZnCuO7,1.6391635498042247,0.4696215545355605,"[5.0, 6.0]",2.0,2.0,2.0,no_data,no_data,1,5.0,Zn,0.0,True
mp-1041735,V2ZnCuO7,1.6391635498042247,0.4696215545355605,"[5.0, 6.0]",2.0,2.0,2.0,no_data,no_data,1,6.0,Zn,0.0,True
mp-1041850,ZnCo(SiO3)2,1.6316243114810505,0.5101316152021041,[6.0],2.0,2.0,2.0,Octahedron,8c,1,6.0,Zn,0.0,True
mp-1041863,MnZn(SiO3)2,1.53107664350827,0.6243694341006251,[6.0],2.0,2.0,2.0,Octahedron,8c,1,6.0,Zn,0.0,True
mp-1041868,ZnFe(SiO3)2,1.7109892868548733,0.4425449650451331,[6.0],2.0,2.0,2.0,Octahedron,8c,1,6.0,Zn,0.0,True
mp-1042041,MnZnP2O7,1.845160863242166,0.2966949378126623,[6.0],2.0,2.0,2.0,Octahedron,4i,1,6.0,Zn,0.0,True
mp-1042054,ZnFeP2O7,2.4441031926106027,-0.2349433924109213,[6.0],2.0,2.0,2.0,Octahedron,4i,1,6.0,Zn,0.0,True
mp-1042062,ZnCrP2O7,4.83579499067139,-2.423776353763296,[6.0],2.0,2.0,2.0,Octahedron,2i,1,6.0,Zn,0.0,True
mp-1042065,VZnP2O7,1.5140967527531488,0.5892156268216998,[6.0],2.0,2.0,2.0,Octahedron,4i,1,6.0,Zn,0.0,True
mp-1042104,ZnNiP2O7,1.668804424400755,0.4654057822079774,[6.0],2.0,2.0,2.0,Octahedron,4i,1,6.0,Zn,0.0,True
mp-1042362,ZnBi2O5,2.0399374540933306,-0.0800605589607659,[4.0],2.0,2.0,2.0,Tetrahedron,8c,1,4.0,Zn,0.0,True
mp-1042425,ZnCuAs2O7,2.5137129006393084,-0.300628402219333,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1042495,Ti3Zn2O8,1.826335481393637,0.2652481334591738,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2b,2,4.0,Zn,0.0,True
mp-1042495,Ti3Zn2O8,1.826335481393637,0.2652481334591738,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2b,2,6.0,Zn,0.0,True
mp-1042775,ZnCoAs2O7,1.2118270404758555,0.8793758019108227,[6.0],2.0,2.0,2.0,no_data,no_data,1,6.0,Zn,0.0,True
mp-1042795,ZnNiAs2O7,2.204749410142866,-0.0684228842510993,[6.0],2.0,2.0,2.0,Octahedron,4e,1,6.0,Zn,0.0,True
mp-1042798,Mn3Zn2O8,1.7373102016067956,0.3057720361446753,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2b,2,4.0,Zn,0.0,True
mp-1042798,Mn3Zn2O8,1.7373102016067956,0.3057720361446753,"[4.0, 6.0]",2.0,2.0,2.0,"Tetrahedron, Octahedron",2b,2,6.0,Zn,0.0,True
