CN,n_rows,n_unique_materials,R0_mean,B_mean,mean_charge_mean
0.0,8,8,2.068552839000688,0.25741814103206706,3.375
1.0,24,24,1.993373169322103,0.3455900732323145,3.7916666666666665
2.0,25,25,1.9233383362782244,0.4537387021168995,3.893333333333333
3.0,29,29,1.95025735303616,0.40004999137281083,3.9195402298850577
4.0,17,13,1.9804638283974194,0.35276126301832456,4.0
5.0,13,13,1.9538698068284925,0.5503817304497695,4.0
6.0,500,497,1.8953678506146239,0.5333673792247534,3.998
7.0,51,51,1.9378404682023662,0.4583723549300873,4.0
8.0,17,17,2.053205479402505,0.26846434869864555,4.0
10.0,1,1,2.32081208806382,0.0080061356284242,4.0
