material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True
mp-1019792,K2ZrSi2O7,2.169619372432994,-0.1285520658120224,[6.0],4.0,4.0,4.0,Octahedron,"4j, 2i",1,6.0,Zr,0.0,True
mp-1020622,SrZrO3,2.091341086867865,0.0024502343960084,[6.0],4.0,4.0,4.0,Octahedron,2b,1,6.0,Zr,0.0,True
mp-1025349,Sr2ZrO4,2.2674525806176566,-0.4044967362014035,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-10499,LiZr2(PO4)3,1.874483369223648,0.4943017590583008,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-1068742,SrZrO3,1.7637187941243575,0.9459145702257368,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1079056,ZrTi(PbO3)2,0.9815764638043796,3.064760955629958,[6.0],4.0,4.0,4.0,Octahedron,1b,1,6.0,Zr,0.0,True
mp-1079416,ZrTi(PbO3)2,2.313538254774853,-1.1128886693510585,[5.0],4.0,4.0,4.0,Octahedron,1b,1,5.0,Zr,0.0,True
mp-1080575,SrZrO3,2.1090461399320213,-0.0266785505343147,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1100802,Zr8MnCu2(PO4)12,1.9678907454621748,0.3297565305481779,[6.0],4.0,4.0,4.0,Octahedron,2i,1,6.0,Zr,0.0,True
mp-1100803,ZrPbO3,2.0116900771834523,0.370550986905362,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1100812,Zr4FeBiPb4O15,2.231669303324714,-0.2250751669048822,[6.0],4.0,4.0,4.0,Octahedron,2a,1,6.0,Zr,0.0,True
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,2.0,Zr,0.0,True
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,3.0,Zr,0.0,True
mp-1101160,Zr3N2O3,1.948796344879365,0.4071044790547257,"[2.0, 3.0, 4.0]",4.0,4.0,4.0,Octahedron,1a,1,4.0,Zr,0.0,True
mp-1101461,Rb2ZrO3,1.8315475853224137,1.0304870590281778,[5.0],4.0,4.0,4.0,Square pyramid,4c,1,5.0,Zr,0.0,True
mp-1133317,Na3Zr2Si2PO12,1.871418162412368,0.6056831412972983,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1133351,Na3Zr2Si2PO12,1.8704722463739607,0.604655485810066,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1190186,ZrO2,2.1257347366097585,0.1560017235674587,[7.0],4.0,4.0,4.0,Square-face capped trigonal prism,8c,1,7.0,Zr,0.0,True
mp-1194692,Na2ZrSi6(HO3)6,2.029883870912454,0.1896677622173321,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Zr,0.0,True
mp-1194879,CaZrSi6H4O17,2.0489902445441475,0.1444358884262301,[6.0],4.0,4.0,4.0,Octahedron,2e,1,6.0,Zr,0.0,True
mp-1195770,LiZr2(AsO4)3,1.80492143067338,0.7304208722251627,[6.0],4.0,4.0,4.0,Octahedron,4c,1,6.0,Zr,0.0,True
mp-1197988,Rb8Zr(MoO4)6,0.5264707025841421,3.9521502214487634,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1198740,Li7Nd3Zr2O12,2.1227001886462906,0.0176550124368493,[6.0],4.0,4.0,4.0,Octahedron,8c,1,6.0,Zr,0.0,True
mp-1201289,K2CaZrH16(CO3)8,2.1598578425612933,0.1147720789768292,[8.0],4.0,4.0,4.0,Dodecahedron with triangular faces - p2345 plane normalized,1a,1,8.0,Zr,0.0,True
mp-1202083,SrZr4(AsO4)6,1.9095219266679788,0.4878924985534469,[6.0],4.0,4.0,4.0,Octahedron,2c,1,6.0,Zr,0.0,True
mp-1202377,Zr2Te4Br2O11,2.034020865567728,0.2582812080118131,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,2i,1,7.0,Zr,0.0,True
mp-1202818,LiZr2(AsO4)3,1.900277079304423,0.5027835060869537,[6.0],4.0,4.0,4.0,Octahedron,4e,1,6.0,Zr,0.0,True
mp-1202980,Zr2Te4Cl2O11,2.0061427106757974,0.2599695932940732,[7.0],4.0,4.0,4.0,Pentagonal bipyramid,2i,1,7.0,Zr,0.0,True
mp-1205663,Sr2ZrTiO6,2.1934924227081565,-0.1170879930205427,[6.0],4.0,4.0,4.0,Octahedron,1a,1,6.0,Zr,0.0,True
mp-1207388,Zr3TiO8,2.0518151833106564,0.2722280419939582,[8.0],4.0,4.0,4.0,"Cube, Square antiprism","2d, 1b",2,8.0,Zr,0.0,True
mp-1207474,Zr4N3OF5,2.2915453191586863,-0.0591415348585963,"[2.0, 1.0, 0]",4.0,4.0,4.0,"Square antiprism, Square-face bicapped trigonal prism, Square-face capped trigonal prism",4e,3,2.0,Zr,0.0,True
mp-1207474,Zr4N3OF5,2.2915453191586863,-0.0591415348585963,"[2.0, 1.0, 0]",4.0,4.0,4.0,"Square antiprism, Square-face bicapped trigonal prism, Square-face capped trigonal prism",4e,3,1.0,Zr,0.0,True
