material_id,chem_formula,n_rows,CN_values,R0_mean,B_mean,chemenv_examples,mean_charge_mean,min_charge_min,max_charge_max
mp-34584,Zr4N2O5,7,"[3, 4, 5, 6, 7]",1.900785559656145,0.4746889120887935,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",4.0,4.0,4.0
mp-34898,Zr4N2O5,7,"[3, 4, 5, 6, 7]",1.9592183423468807,0.3862153261986364,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",4.0,4.0,4.0
mp-675751,Zr7N2O11,6,"[3, 5, 6, 7, 8]",1.9794258560827165,0.3841672929590986,"Face-capped octahedron, Cube, Square-face capped trigonal prism, Octahedron",4.0,4.0,4.0
mp-561974,Zr7(NO2)4,5,"[3, 4, 5, 6]",2.0809505558399426,0.253124050298767,"Square-face capped trigonal prism, Octahedron",4.0,4.0,4.0
mp-775823,Zr2N2O,5,"[0, 1, 2, 3, 4]",1.8305416643819605,0.5771454812196399,"Trigonal prism, Octahedron",4.0,4.0,4.0
mp-775866,Zr2N2O,5,"[0, 1, 2, 3, 4]",1.8826767336703931,0.504589344318776,"Trigonal prism, Octahedron",4.0,4.0,4.0
mp-775824,Zr2N2O,4,"[0, 1, 2, 3]",1.984754815979884,0.3405570741049255,"Trigonal prism, Octahedron",4.0,4.0,4.0
mp-775844,Zr2N2O,4,"[0, 1, 2, 3]",1.8882089805344813,0.4875138289282672,"Trigonal prism, Octahedron",4.0,4.0,4.0
mp-776315,Zr2N2O,4,"[0, 1, 2, 3]",1.8100363925197829,0.6055867792652705,"Trigonal prism, Octahedron",4.0,4.0,4.0
mp-1101160,Zr3N2O3,3,"[2, 3, 4]",1.948796344879365,0.40710447905472574,Octahedron,4.0,4.0,4.0
mp-1207474,Zr4N3OF5,3,"[0, 1, 2]",2.2915453191586863,-0.0591415348585963,"Square antiprism, Square-face bicapped trigonal prism, Square-face capped trigonal prism",4.0,4.0,4.0
mp-1215342,Zr6P2O,3,"[0, 1, 2]",2.7072459887057234,-0.35864038221737077,"Square pyramid, Triangular non-coplanar",1.3333333333333333,1.0,2.0
mp-1215390,Zr4Br4O,3,"[0, 1, 3]",2.1534128170545923,-0.0382654625043758,"Octahedron, Tetrahedron, Triangular non-coplanar",1.6666666666666667,1.0,2.0
mp-35527,Zr7(NO2)4,3,"[4, 5]",2.0097467338156685,0.4015272829483952,"Square-face capped trigonal prism, Octahedron",4.0,4.0,4.0
mp-554190,CaZr4O9,3,"[6, 7, 8]",1.9345504053361395,0.4690855604820905,"Cube, Square-face capped trigonal prism, Octahedron",4.0,4.0,4.0
mp-674947,Zr2N2O,3,"[1, 2, 3]",1.8757957860249246,0.5048981029284656,"Trigonal prism, Octahedron",4.0,4.0,4.0
mp-675993,Zr2N2O,3,"[1, 2, 3]",1.8614485805554464,0.539089713128436,"Trigonal prism, Octahedron",4.0,4.0,4.0
mp-677269,Ca16Zr9Ta7N7O41,3,"[4, 5, 6]",2.0948484963044733,0.1435363989677242,no_data,4.0,4.0,4.0
