CN,geometry_type,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,bridging_O_fraction_mean,fraction_within_cn
1.0,"Trigonal prism, Octahedron",71,21,2.2699786877957644,2.2699786877957644,0.0,1.0,0.8658536585365854
1.0,"Square antiprism, Square-face bicapped trigonal prism, Square-face capped trigonal prism",8,1,2.234950766776772,2.234950766776772,0.0,1.0,0.0975609756097561
1.0,"Square pyramid, Triangular non-coplanar",2,1,2.2579554871558267,2.2579554871558267,0.0,1.0,0.024390243902439025
1.0,"Octahedron, Tetrahedron, Triangular non-coplanar",1,1,2.1534159842512794,2.1534159842512794,0.0,1.0,0.012195121951219513
2.0,"Trigonal prism, Octahedron",178,21,2.2212214615460497,2.2424065787496565,0.02118511720360655,1.0,0.9417989417989417
2.0,Pentagonal bipyramid,4,1,2.284882882968794,2.318671971140173,0.033789088171378656,1.0,0.021164021164021163
2.0,"Square antiprism, Square-face bicapped trigonal prism, Square-face capped trigonal prism",4,1,2.109001874902851,2.1916988767703685,0.082697001867517,1.0,0.021164021164021163
2.0,"Square pyramid, Triangular non-coplanar",2,1,2.337981848048301,2.337981848048301,0.0,1.0,0.010582010582010581
2.0,Octahedron,1,1,2.0867991515429685,2.141616994972023,0.05481784342905471,1.0,0.005291005291005291
3.0,"Trigonal prism, Octahedron",79,21,2.1518222759618775,2.1937397007892,0.036826492153972816,1.0,0.8494623655913979
3.0,Octahedron,9,3,2.087651091150399,2.2021788977474586,0.11436807795461752,1.0,0.0967741935483871
3.0,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",2,2,2.176228267593107,2.2263343512284925,0.0354527175515519,1.0,0.021505376344086023
3.0,"Face-capped octahedron, Cube, Square-face capped trigonal prism, Octahedron",1,1,2.075414647744913,2.1123914653843006,0.05216719327695938,1.0,0.010752688172043012
3.0,"Octahedron, Tetrahedron, Triangular non-coplanar",1,1,2.111369598446401,2.1113698060514694,1.467989516712283e-07,1.0,0.010752688172043012
3.0,"Square-face capped trigonal prism, Octahedron",1,1,2.1783499544387994,2.1972047303214257,0.02404004246794758,1.0,0.010752688172043012
4.0,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",14,2,2.1601196910380702,2.21772107038933,0.04475777823311123,1.0,0.25925925925925924
4.0,Dodecahedron with triangular faces - p2345 plane normalized,12,1,2.1854641813659383,2.209652470679778,0.016500128970980125,1.0,0.2222222222222222
4.0,"Square-face capped trigonal prism, Octahedron",10,2,2.139092932081753,2.2380147301295477,0.09784428869740605,1.0,0.18518518518518517
4.0,Octahedron,8,3,2.095453452180116,2.1465574874074793,0.04586544344515089,1.0,0.14814814814814814
4.0,Tetrahedron,6,2,1.979709142853767,1.9833981641181353,0.003148860268491451,0.0,0.1111111111111111
4.0,"Trigonal prism, Octahedron",2,2,2.1062693456622927,2.171622559533059,0.03937258695784847,1.0,0.037037037037037035
4.0,no_data,2,1,2.157977889442538,2.170293918863486,0.013011103752611778,1.0,0.037037037037037035
5.0,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",14,2,2.1603119982711214,2.2269367359208885,0.052897788571230016,1.0,0.2978723404255319
5.0,Square pyramid,12,4,1.9135671962218967,2.0613277707695112,0.07406518887548447,0.8000000000000002,0.2553191489361702
5.0,"Square-face capped trigonal prism, Octahedron",7,2,2.137682120472662,2.303062315659122,0.20606338768043345,1.0,0.14893617021276595
5.0,no_data,6,1,2.147912668693293,2.1727129539079617,0.02134875547128076,1.0,0.1276595744680851
5.0,Octahedron,5,2,2.0929743189916143,2.1028191782366594,0.007428487674671915,1.0,0.10638297872340426
5.0,Trigonal bipyramid,2,1,1.9736429487996525,2.0899484377909756,0.07193870837307081,0.8,0.0425531914893617
5.0,"Face-capped octahedron, Cube, Square-face capped trigonal prism, Octahedron",1,1,,,,,0.02127659574468085
6.0,Octahedron,2744,441,2.0353498341059084,2.111587984280541,0.05790606284630814,0.994533527696793,0.9017417022674992
6.0,no_data,211,27,2.0217916167123087,2.109765384848607,0.06435684659205623,1.0,0.06933946763062768
6.0,"Square-face capped trigonal prism, Octahedron",36,15,2.0839538280774597,2.1152743791869932,0.026587813372724006,1.0,0.011830430496220835
6.0,"Face-capped octahedron, Cube, Square-face capped trigonal prism, Octahedron",16,1,2.1139390382325463,2.2502773224211503,0.12876035403477443,1.0,0.0052579691094314825
6.0,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",14,2,2.1626347309029854,2.228249484025549,0.05423581506479579,1.0,0.004600722970752547
6.0,"Trigonal prism, Octahedron",9,5,2.046436196800662,2.1189257363399765,0.07238757759207953,1.0,0.0029576076240552087
6.0,"Cube, Square-face capped trigonal prism, Octahedron",6,1,2.053600326535172,2.113430201503288,0.04566557601869689,1.0,0.001971738416036806
6.0,"Cube, Square-face capped trigonal prism",2,2,,,,,0.0006572461386789353
6.0,"Pentagonal bipyramid, Octahedron",2,1,2.0121272879699847,2.0828535418726917,0.05385864871730721,1.0,0.0006572461386789353
6.0,"Trigonal prism, Square-face capped trigonal prism, Octahedron",2,1,2.075650723604613,2.10624589450504,0.027622509444507927,1.0,0.0006572461386789353
6.0,"Square antiprism, Octahedron",1,1,,,,,0.00032862306933946765
7.0,Square-face capped trigonal prism,96,13,2.066746160329544,2.1781145631806256,0.07591618366082226,1.0,0.30670926517571884
7.0,"Square-face capped trigonal prism, Octahedron",64,13,2.0715810853864074,2.2055594633596356,0.1381097334266495,1.0,0.20447284345047922
7.0,"Cube, Square-face capped trigonal prism",48,2,2.110393983465745,2.190047323113637,0.04973494853855668,1.0,0.15335463258785942
7.0,Pentagonal bipyramid,38,12,2.040780382978616,2.1852659289840433,0.11622299121716709,1.0,0.12140575079872204
7.0,"Cube, Square-face capped trigonal prism, Octahedron",20,1,2.112787537791418,2.1920869088517367,0.0624623254940629,1.0,0.06389776357827476
7.0,no_data,17,1,2.0957056392286817,2.1791776126507356,0.05542084814387275,1.0,0.054313099041533544
7.0,"Face-capped octahedron, Square-face capped trigonal prism",14,1,2.0608582369649064,2.188189290599673,0.0935760391108523,1.0,0.04472843450479233
7.0,"Trigonal prism, Square-face capped trigonal prism, Octahedron",4,1,2.0685900511792825,2.224861347138901,0.20653044215704322,1.0,0.012779552715654952
7.0,"Face-capped octahedron, Cube, Square-face capped trigonal prism, Octahedron",3,1,2.097292578816932,2.3336812347190725,0.2972576634489223,1.0,0.009584664536741214
7.0,"Cube, Face-capped octahedron, Square-face capped trigonal prism, Octahedron",2,2,2.1781499203852235,2.2730981375674997,0.06927366599055068,1.0,0.006389776357827476
7.0,Face-capped octahedron,2,1,2.1264255126011573,2.2103492173665487,0.05120446108953454,1.0,0.006389776357827476
7.0,"Pentagonal bipyramid, Octahedron",2,1,2.0596928499645695,2.1650867850155326,0.1128326286949716,1.0,0.006389776357827476
7.0,"Square-face capped trigonal prism, Square-face bicapped trigonal prism, Square antiprism",2,1,2.0553251877875636,2.1816142461603016,0.07339181947459174,1.0,0.006389776357827476
7.0,Square antiprism,1,1,,,,,0.003194888178913738
