CN,mean_charge,count,n_materials,d_min_mean,d_mean_mean,d_std_mean,fraction_within_cn
1.0,4.0,79,22,2.266431556553335,2.266431556553335,0.0,0.9634146341463414
1.0,1.3333333333333333,2,1,2.2579554871558267,2.2579554871558267,0.0,0.024390243902439025
1.0,1.6666666666666667,1,1,2.1534159842512794,2.1534159842512794,0.0,0.012195121951219513
2.0,4.0,187,24,2.219463948332762,2.2424142855831715,0.022950337250409642,0.9894179894179894
2.0,1.3333333333333333,2,1,2.337981848048301,2.337981848048301,0.0,0.010582010582010581
3.0,4.0,92,28,2.1455330517251285,2.1944272971764853,0.04440998100655892,0.989247311827957
3.0,1.6666666666666667,1,1,2.111369598446401,2.1113698060514694,1.467989516712283e-07,0.010752688172043012
4.0,4.0,54,13,2.130158372528055,2.179643588438244,0.0424747670459714,1.0
5.0,4.0,47,13,2.07505796354428,2.170265223860373,0.0749661982341907,1.0
6.0,4.0,3039,496,2.03602847096887,2.112740692490801,0.05833672554962108,0.9986855077226421
6.0,3.0,4,1,2.0632176150342665,2.1390254903626955,0.05707616004748707,0.0013144922773578706
7.0,4.0,313,51,2.0768836889982296,2.1907468150914777,0.09224301276057882,1.0
8.0,4.0,141,17,2.128923070428951,2.2556210477819043,0.13708167287441156,1.0
10.0,4.0,4,1,2.282233862344623,2.3281580495562535,0.04408717021502344,1.0
