material_id,chem_formula,R0,B,CN_raw,mean_charge,min_charge,max_charge,chemenv,Zr_wyckoff,num_Zr_chemenvs,CN,element,charge_range,is_single_charge,site_index,cn_found,d_min,d_max,d_mean,d_std,d_range,angle_mean,angle_std,angle_min,angle_max,bridging_O_count,bridging_O_fraction,n_candidate_sites_same_cn,geometry_type
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,4.0,6.0,2.0716013544507685,2.1300675092716936,2.100843663753588,0.023833938120771586,0.0584661548209251,78.4258356867456,36.40709106992191,20.080867832962014,177.633655359841,6.0,1.0,1,Octahedron
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,5.0,6.0,2.071601354450767,2.130067509271695,2.100843663753588,0.02383393812077209,0.05846615482092776,68.36066098853772,28.78271786762315,19.84989149619654,101.40887590846141,6.0,1.0,2,Octahedron
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,6.0,6.0,2.0716013544507685,2.1300675092716936,2.1008436637535883,0.02383393812077189,0.0584661548209251,107.17908390026916,34.448453410679036,86.42930587154756,177.63365535984127,6.0,1.0,3,Octahedron
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,7.0,6.0,2.0716013544507685,2.130067509271694,2.100843663753587,0.023833938120771583,0.05846615482092554,95.84220023407586,36.321245685765795,19.849891496196577,177.0513024019342,6.0,1.0,4,Octahedron
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,8.0,6.0,2.0716013544507677,2.130067509271694,2.1008436637535874,0.02383393812077217,0.05846615482092643,78.4258356867456,36.40709106992191,20.080867832962014,177.633655359841,6.0,1.0,5,Octahedron
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,9.0,6.0,2.0716013544507685,2.1300675092716936,2.100843663753587,0.02383393812077254,0.0584661548209251,68.36066098853776,28.782717867623166,19.849891496196577,101.4088759084615,6.0,1.0,6,Octahedron
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,10.0,6.0,2.0716013544507685,2.1300675092716936,2.1008436637535874,0.02383393812077123,0.0584661548209251,107.17908390026913,34.448453410679,86.42930587154757,177.633655359841,6.0,1.0,7,Octahedron
mp-1019720,CsZr2Al(PO4)4,2.005799072039035,0.231803500252279,[6.0],4.0,4.0,4.0,Octahedron,8e,1,6.0,Zr,0.0,True,11.0,6.0,2.071601354450769,2.1300675092716923,2.1008436637535874,0.02383393812077029,0.05846615482092332,95.84220023407586,36.32124568576577,19.849891496196598,177.05130240193395,6.0,1.0,8,Octahedron
mp-1019792,K2ZrSi2O7,2.169619372432994,-0.1285520658120224,[6.0],4.0,4.0,4.0,Octahedron,"4j, 2i",1,6.0,Zr,0.0,True,16.0,6.0,2.0689695110878343,2.177421958598442,2.1261633976732197,0.036648604029858665,0.10845244751060745,35.53514079154054,13.146257289736775,13.46749668162583,50.32434581193056,6.0,1.0,1,Octahedron
mp-1019792,K2ZrSi2O7,2.169619372432994,-0.1285520658120224,[6.0],4.0,4.0,4.0,Octahedron,"4j, 2i",1,6.0,Zr,0.0,True,17.0,6.0,2.0689695110878374,2.1774219585984382,2.12616339767322,0.036648604029857944,0.10845244751060079,35.53514079154052,13.14625728973678,13.467496681625857,50.32434581193055,6.0,1.0,2,Octahedron
