CN,n_samples,n_materials,avg_formal_charge,s_avg_approx,savg_class,charge_fraction_breakdown,element
2.0,39,34,1.0256410256410255,0.5128205128205128,s_avg ≤ 1,1+:0.9744; 2+:0.0256,Ag
3.0,40,35,1.025,0.3416666666666666,s_avg ≤ 1,1+:0.9750; 2+:0.0250,Ag
4.0,85,82,1.1176470588235294,0.2794117647058823,s_avg ≤ 1,1+:0.9059; 2+:0.0706; 3+:0.0235,Ag
5.0,42,42,1.1428571428571428,0.2285714285714285,s_avg ≤ 1,1+:0.9048; 2+:0.0476; 3+:0.0476,Ag
6.0,79,79,1.1265822784810129,0.1877637130801688,s_avg ≤ 1,1+:0.8987; 2+:0.0759; 3+:0.0253,Ag
7.0,21,21,1.1904761904761905,0.1700680272108843,s_avg ≤ 1,1+:0.8571; 2+:0.0952; 3+:0.0476,Ag
8.0,33,33,1.0606060606060606,0.1325757575757575,s_avg ≤ 1,1+:0.9697; 3+:0.0303,Ag
4.0,503,503,3.0,0.75,s_avg ≤ 1,3+:1.0000,Al
5.0,62,62,3.0,0.6,s_avg ≤ 1,3+:1.0000,Al
6.0,543,543,3.0,0.5,s_avg ≤ 1,3+:1.0000,Al
3.0,37,37,3.027027027027027,1.0090090090090091,s_avg > 1,3+:0.9730; 4+:0.0270,As
4.0,421,421,4.98812351543943,1.2470308788598574,s_avg > 1,3+:0.0048; 4+:0.0024; 5+:0.9929,As
6.0,31,31,5.0,0.8333333333333334,s_avg ≤ 1,5+:1.0000,As
4.0,37,37,3.0,0.75,s_avg ≤ 1,3+:1.0000,Au
3.0,986,986,3.0,1.0,s_avg ≤ 1,3+:1.0000,B
4.0,508,508,3.0,0.75,s_avg ≤ 1,3+:1.0000,B
3.0,54,51,3.0,1.0,s_avg ≤ 1,3+:1.0000,Bi
4.0,129,111,2.9844961240310077,0.7461240310077519,s_avg ≤ 1,1+:0.0078; 3+:0.9922,Bi
5.0,137,134,3.0437956204379564,0.6087591240875913,s_avg ≤ 1,3+:0.9708; 4+:0.0146; 5+:0.0146,Bi
6.0,342,341,3.5964912280701755,0.5994152046783626,s_avg ≤ 1,2+:0.0058; 3+:0.6725; 4+:0.0409; 5+:0.2807,Bi
7.0,172,170,3.046511627906977,0.4352159468438538,s_avg ≤ 1,3+:0.9651; 4+:0.0233; 5+:0.0116,Bi
8.0,238,238,2.9873949579831933,0.3734243697478991,s_avg ≤ 1,2+:0.0126; 3+:0.9874,Bi
9.0,24,24,3.0,0.3333333333333333,s_avg ≤ 1,3+:1.0000,Bi
2.0,58,58,3.0344827586206895,1.5172413793103448,s_avg > 1,2+:0.0172; 3+:0.9310; 4+:0.0517,C
3.0,771,771,3.9948119325551232,1.3316039775183743,s_avg > 1,3+:0.0052; 4+:0.9948,C
4.0,28,28,2.0,0.5,s_avg ≤ 1,2+:1.0000,Cd
5.0,27,27,2.0,0.4,s_avg ≤ 1,2+:1.0000,Cd
6.0,170,169,2.0,0.3333333333333333,s_avg ≤ 1,2+:1.0000,Cd
7.0,21,21,2.0,0.2857142857142857,s_avg ≤ 1,2+:1.0000,Cd
8.0,32,32,2.0,0.25,s_avg ≤ 1,2+:1.0000,Cd
4.0,173,171,2.5549132947976876,0.6387283236994219,s_avg ≤ 1,2+:0.5434; 3+:0.3584; 4+:0.0983,Co
5.0,102,100,2.284313725490196,0.4568627450980392,s_avg ≤ 1,2+:0.7745; 3+:0.1667; 4+:0.0588,Co
6.0,740,739,2.502702702702703,0.4171171171171171,s_avg ≤ 1,1+:0.0041; 2+:0.5932; 3+:0.2986; 4+:0.1041,Co
4.0,224,224,4.991071428571429,1.2477678571428572,s_avg > 1,2+:0.1250; 3+:0.0982; 4+:0.0357; 5+:0.1429; 6+:0.5982,Cr
5.0,45,45,2.4444444444444446,0.4888888888888889,s_avg ≤ 1,2+:0.8000; 3+:0.0667; 4+:0.0222; 5+:0.1111,Cr
6.0,584,584,3.029109589041096,0.504851598173516,s_avg ≤ 1,2+:0.1490; 3+:0.7295; 4+:0.0668; 5+:0.0531; 6+:0.0017,Cr
2.0,29,25,1.517241379310345,0.7586206896551725,s_avg ≤ 1,1+:0.4828; 2+:0.5172,Cu
3.0,60,53,1.8666666666666667,0.6222222222222222,s_avg ≤ 1,1+:0.1333; 2+:0.8667,Cu
4.0,434,388,2.0,0.5,s_avg ≤ 1,1+:0.0415; 2+:0.9171; 3+:0.0415,Cu
5.0,356,338,2.0196629213483144,0.4039325842696629,s_avg ≤ 1,1+:0.0056; 2+:0.9691; 3+:0.0253,Cu
6.0,408,401,1.9877450980392155,0.3312908496732026,s_avg ≤ 1,1+:0.0858; 2+:0.8407; 3+:0.0735,Cu
4.0,302,302,2.80794701986755,0.7019867549668873,s_avg ≤ 1,2+:0.2483; 3+:0.7119; 4+:0.0298; 5+:0.0033; 6+:0.0066,Fe
5.0,369,369,2.3468834688346885,0.4693766937669377,s_avg ≤ 1,2+:0.6585; 3+:0.3360; 4+:0.0054,Fe
6.0,1382,1382,2.750361794500724,0.4583936324167874,s_avg ≤ 1,1+:0.0014; 2+:0.2721; 3+:0.7019; 4+:0.0239; 5+:0.0007,Fe
4.0,263,263,3.0,0.75,s_avg ≤ 1,3+:1.0000,Ga
5.0,49,49,3.0,0.6,s_avg ≤ 1,3+:1.0000,Ga
6.0,314,314,3.0,0.5,s_avg ≤ 1,3+:1.0000,Ga
4.0,429,429,3.9976689976689976,0.9994172494172494,s_avg ≤ 1,3+:0.0023; 4+:0.9977,Ge
5.0,44,44,4.0,0.8,s_avg ≤ 1,4+:1.0000,Ge
6.0,132,132,4.0,0.6666666666666666,s_avg ≤ 1,4+:1.0000,Ge
1.0,33,33,4.0,4.0,s_avg > 1,4+:1.0000,Hf
2.0,34,34,4.0,2.0,s_avg > 1,4+:1.0000,Hf
3.0,36,36,4.0,1.3333333333333333,s_avg > 1,4+:1.0000,Hf
6.0,356,356,4.0,0.6666666666666666,s_avg ≤ 1,4+:1.0000,Hf
2.0,29,25,1.6206896551724137,0.8103448275862069,s_avg ≤ 1,1+:0.3793; 2+:0.6207,Hg
3.0,27,27,1.6296296296296298,0.54320987654321,s_avg ≤ 1,1+:0.3704; 2+:0.6296,Hg
4.0,27,25,1.8888888888888888,0.4722222222222222,s_avg ≤ 1,1+:0.1111; 2+:0.8889,Hg
6.0,22,22,2.0,0.3333333333333333,s_avg ≤ 1,2+:1.0000,Hg
4.0,27,27,2.9259259259259256,0.7314814814814814,s_avg ≤ 1,2+:0.0741; 3+:0.9259,In
5.0,27,27,3.0,0.6,s_avg ≤ 1,3+:1.0000,In
6.0,393,393,2.9974554707379135,0.4995759117896522,s_avg ≤ 1,2+:0.0025; 3+:0.9975,In
6.0,105,105,4.533333333333333,0.7555555555555555,s_avg ≤ 1,4+:0.5143; 5+:0.4381; 6+:0.0476,Ir
1.0,24,24,3.0,3.0,s_avg > 1,3+:1.0000,La
3.0,24,24,3.0,1.0,s_avg ≤ 1,3+:1.0000,La
4.0,27,27,3.0,0.75,s_avg ≤ 1,3+:1.0000,La
5.0,30,30,3.0,0.6,s_avg ≤ 1,3+:1.0000,La
6.0,134,134,3.0,0.5,s_avg ≤ 1,3+:1.0000,La
7.0,150,150,3.0,0.4285714285714285,s_avg ≤ 1,3+:1.0000,La
8.0,406,406,2.990147783251232,0.3737684729064039,s_avg ≤ 1,2+:0.0099; 3+:0.9901,La
9.0,219,219,2.9954337899543377,0.3328259766615931,s_avg ≤ 1,2+:0.0046; 3+:0.9954,La
10.0,62,62,2.9516129032258065,0.2951612903225806,s_avg ≤ 1,2+:0.0484; 3+:0.9516,La
11.0,24,24,2.9166666666666665,0.2651515151515151,s_avg ≤ 1,2+:0.0833; 3+:0.9167,La
12.0,108,108,2.962962962962963,0.2469135802469135,s_avg ≤ 1,2+:0.0370; 3+:0.9630,La
4.0,178,178,2.747191011235955,0.6867977528089888,s_avg ≤ 1,2+:0.5169; 3+:0.3764; 4+:0.0112; 5+:0.0506; 6+:0.0281; 7+:0.0169,Mn
5.0,366,366,2.2131147540983607,0.4426229508196721,s_avg ≤ 1,2+:0.7923; 3+:0.2022; 4+:0.0055,Mn
6.0,1393,1393,2.786073223259153,0.4643455372098588,s_avg ≤ 1,2+:0.4200; 3+:0.3783; 4+:0.2003; 7+:0.0014,Mn
4.0,480,480,5.989583333333333,1.4973958333333333,s_avg > 1,5+:0.0104; 6+:0.9896,Mo
5.0,89,89,5.764044943820225,1.152808988764045,s_avg > 1,3+:0.0562; 5+:0.0674; 6+:0.8764,Mo
6.0,432,432,5.131944444444445,0.8553240740740741,s_avg ≤ 1,2+:0.0162; 3+:0.1273; 4+:0.1250; 5+:0.1713; 6+:0.5602,Mo
3.0,214,214,5.0,1.6666666666666667,s_avg > 1,5+:1.0000,N
4.0,25,25,4.96,1.24,s_avg > 1,4+:0.0400; 5+:0.9600,Nb
5.0,43,43,4.813953488372093,0.9627906976744184,s_avg ≤ 1,3+:0.0698; 4+:0.0465; 5+:0.8837,Nb
6.0,1076,1074,4.976765799256506,0.8294609665427509,s_avg ≤ 1,2+:0.0019; 3+:0.0046; 4+:0.0102; 5+:0.9823; 7+:0.0009,Nb
7.0,22,22,4.954545454545455,0.7077922077922079,s_avg ≤ 1,4+:0.0455; 5+:0.9545,Nb
4.0,46,46,2.2608695652173916,0.5652173913043479,s_avg ≤ 1,2+:0.7826; 3+:0.1739; 4+:0.0435,Ni
5.0,75,74,2.1333333333333333,0.4266666666666666,s_avg ≤ 1,2+:0.8667; 3+:0.1333,Ni
6.0,642,639,2.2383177570093458,0.3730529595015576,s_avg ≤ 1,1+:0.0031; 2+:0.7741; 3+:0.2040; 4+:0.0187,Ni
2.0,24,24,5.0,2.5,s_avg > 1,5+:1.0000,P
3.0,83,80,4.807228915662651,1.602409638554217,s_avg > 1,4+:0.1928; 5+:0.8072,P
4.0,3666,3666,4.998636115657392,1.249659028914348,s_avg > 1,4+:0.0014; 5+:0.9986,P
2.0,23,13,2.0,1.0,s_avg ≤ 1,2+:1.0000,Pb
3.0,92,86,2.032608695652174,0.677536231884058,s_avg ≤ 1,2+:0.9674; 3+:0.0326,Pb
4.0,107,96,2.1588785046728973,0.5397196261682243,s_avg ≤ 1,2+:0.9159; 3+:0.0093; 4+:0.0748,Pb
5.0,126,126,2.1587301587301586,0.4317460317460317,s_avg ≤ 1,2+:0.9206; 4+:0.0794,Pb
6.0,185,184,2.227027027027027,0.3711711711711711,s_avg ≤ 1,2+:0.8811; 3+:0.0108; 4+:0.1081,Pb
7.0,129,128,2.007751937984496,0.2868217054263566,s_avg ≤ 1,2+:0.9922; 3+:0.0078,Pb
8.0,143,143,2.006993006993007,0.2508741258741259,s_avg ≤ 1,2+:0.9930; 3+:0.0070,Pb
9.0,86,85,2.0,0.2222222222222222,s_avg ≤ 1,2+:1.0000,Pb
10.0,40,40,2.0,0.2,s_avg ≤ 1,2+:1.0000,Pb
12.0,28,28,2.0,0.1666666666666666,s_avg ≤ 1,2+:1.0000,Pb
4.0,38,35,2.0789473684210527,0.5197368421052632,s_avg ≤ 1,2+:0.9474; 3+:0.0263; 4+:0.0263,Pd
6.0,47,47,3.914893617021277,0.652482269503546,s_avg ≤ 1,2+:0.0213; 3+:0.0426; 4+:0.9362,Pt
4.0,56,56,6.964285714285714,1.7410714285714286,s_avg > 1,6+:0.0357; 7+:0.9643,Re
6.0,72,72,6.013888888888889,1.0023148148148149,s_avg > 1,4+:0.0139; 5+:0.3889; 6+:0.1667; 7+:0.4306,Re
6.0,56,53,3.4285714285714284,0.5714285714285714,s_avg ≤ 1,3+:0.5714; 4+:0.4286,Rh
6.0,186,186,4.693548387096774,0.782258064516129,s_avg ≤ 1,2+:0.0054; 3+:0.0054; 4+:0.2796; 5+:0.7097,Ru
3.0,31,31,5.225806451612903,1.7419354838709675,s_avg > 1,4+:0.3226; 5+:0.1290; 6+:0.5484,S
4.0,1703,1702,5.997651203758074,1.4994128009395185,s_avg > 1,4+:0.0006; 5+:0.0012; 6+:0.9982,S
3.0,70,61,3.028571428571429,1.0095238095238095,s_avg > 1,3+:0.9857; 5+:0.0143,Sb
4.0,69,67,3.0,0.75,s_avg ≤ 1,3+:1.0000,Sb
5.0,38,38,3.2631578947368425,0.6526315789473685,s_avg ≤ 1,3+:0.8684; 5+:0.1316,Sb
6.0,456,455,4.824561403508771,0.8040935672514619,s_avg ≤ 1,3+:0.0855; 4+:0.0044; 5+:0.9101,Sb
6.0,392,392,2.9948979591836733,0.4991496598639455,s_avg ≤ 1,2+:0.0051; 3+:0.9949,Sc
7.0,23,23,3.0,0.4285714285714285,s_avg ≤ 1,3+:1.0000,Sc
3.0,338,338,4.017751479289941,1.339250493096647,s_avg > 1,2+:0.0030; 4+:0.9734; 5+:0.0237,Se
4.0,189,189,5.947089947089946,1.4867724867724863,s_avg > 1,4+:0.0053; 5+:0.0423; 6+:0.9524,Se
4.0,2280,2280,4.0,1.0,s_avg ≤ 1,4+:1.0000,Si
6.0,23,23,4.0,0.6666666666666666,s_avg ≤ 1,4+:1.0000,Si
3.0,36,36,2.0277777777777777,0.6759259259259259,s_avg ≤ 1,2+:0.9722; 3+:0.0278,Sn
4.0,35,35,2.657142857142857,0.6642857142857143,s_avg ≤ 1,2+:0.6571; 3+:0.0286; 4+:0.3143,Sn
5.0,22,22,2.3636363636363633,0.4727272727272726,s_avg ≤ 1,2+:0.7727; 3+:0.0909; 4+:0.1364,Sn
6.0,482,482,3.883817427385892,0.6473029045643154,s_avg ≤ 1,2+:0.0498; 3+:0.0166; 4+:0.9336,Sn
5.0,26,26,4.923076923076923,0.9846153846153848,s_avg ≤ 1,4+:0.0769; 5+:0.9231,Ta
6.0,875,874,4.9954285714285716,0.8325714285714286,s_avg ≤ 1,4+:0.0046; 5+:0.9954,Ta
7.0,47,47,5.0,0.7142857142857143,s_avg ≤ 1,5+:1.0000,Ta
3.0,238,224,4.004201680672269,1.334733893557423,s_avg > 1,4+:0.9958; 5+:0.0042,Te
4.0,236,223,4.0508474576271185,1.0127118644067796,s_avg > 1,4+:0.9619; 5+:0.0254; 6+:0.0127,Te
5.0,92,92,4.108695652173913,0.8217391304347826,s_avg ≤ 1,4+:0.9348; 5+:0.0217; 6+:0.0435,Te
6.0,234,234,5.611111111111111,0.9351851851851852,s_avg ≤ 1,4+:0.1752; 5+:0.0385; 6+:0.7863,Te
4.0,57,57,3.9473684210526314,0.986842105263158,s_avg ≤ 1,3+:0.0526; 4+:0.9474,Ti
5.0,105,105,3.980952380952381,0.7961904761904761,s_avg ≤ 1,3+:0.0190; 4+:0.9810,Ti
6.0,1376,1376,3.960755813953488,0.6601259689922481,s_avg ≤ 1,2+:0.0015; 3+:0.0363; 4+:0.9622,Ti
4.0,36,35,2.2222222222222223,0.5555555555555556,s_avg ≤ 1,1+:0.3889; 3+:0.6111,Tl
5.0,24,23,1.5833333333333337,0.3166666666666667,s_avg ≤ 1,1+:0.7083; 3+:0.2917,Tl
6.0,87,86,2.1494252873563218,0.3582375478927203,s_avg ≤ 1,1+:0.4253; 3+:0.5747,Tl
7.0,28,28,1.5,0.2142857142857142,s_avg ≤ 1,1+:0.7500; 3+:0.2500,Tl
8.0,31,31,1.5161290322580645,0.189516129032258,s_avg ≤ 1,1+:0.7419; 3+:0.2581,Tl
9.0,24,23,1.0,0.1111111111111111,s_avg ≤ 1,1+:1.0000,Tl
1.0,23,23,3.9565217391304346,3.9565217391304346,s_avg > 1,3+:0.2609; 4+:0.5217; 5+:0.2174,V
2.0,23,23,3.8695652173913047,1.9347826086956523,s_avg > 1,2+:0.0435; 3+:0.3043; 4+:0.3913; 5+:0.2609,V
4.0,620,620,4.759677419354839,1.1899193548387097,s_avg > 1,2+:0.0048; 3+:0.0887; 4+:0.0484; 5+:0.8581,V
5.0,250,250,4.548,0.9096,s_avg ≤ 1,2+:0.0160; 3+:0.0600; 4+:0.2840; 5+:0.6400,V
6.0,1101,1101,3.5295186194368755,0.5882531032394792,s_avg ≤ 1,2+:0.1054; 3+:0.4078; 4+:0.3388; 5+:0.1480,V
4.0,94,94,6.0,1.5,s_avg > 1,6+:1.0000,W
5.0,47,47,6.0,1.2,s_avg > 1,6+:1.0000,W
6.0,569,568,5.71353251318102,0.9522554188635034,s_avg ≤ 1,2+:0.0053; 3+:0.0387; 4+:0.0492; 5+:0.0510; 6+:0.8559,W
4.0,27,23,3.0,0.75,s_avg ≤ 1,3+:1.0000,Y
6.0,329,325,3.0,0.5,s_avg ≤ 1,3+:1.0000,Y
7.0,123,123,3.0,0.4285714285714285,s_avg ≤ 1,3+:1.0000,Y
8.0,260,250,3.0,0.375,s_avg ≤ 1,3+:1.0000,Y
4.0,296,296,2.0,0.5,s_avg ≤ 1,2+:1.0000,Zn
5.0,137,137,2.0,0.4,s_avg ≤ 1,2+:1.0000,Zn
6.0,495,495,2.0,0.3333333333333333,s_avg ≤ 1,2+:1.0000,Zn
1.0,22,22,4.0,4.0,s_avg > 1,4+:1.0000,Zr
2.0,24,24,4.0,2.0,s_avg > 1,4+:1.0000,Zr
3.0,28,28,4.0,1.3333333333333333,s_avg > 1,4+:1.0000,Zr
6.0,500,497,3.998,0.6663333333333333,s_avg ≤ 1,3+:0.0020; 4+:0.9980,Zr
7.0,51,51,4.0,0.5714285714285714,s_avg ≤ 1,4+:1.0000,Zr
