CN,charge,count,cn_total,fraction,element
1,3.333,14,14,1.0,Cr
3,3.0,2,3,0.6666666666666666,Cr
3,6.0,1,3,0.3333333333333333,Cr
4,2.0,23,214,0.10747663551401869,Cr
4,2.5,1,214,0.004672897196261682,Cr
4,3.0,21,214,0.09813084112149532,Cr
4,4.0,8,214,0.037383177570093455,Cr
4,5.0,21,214,0.09813084112149532,Cr
4,5.333,1,214,0.004672897196261682,Cr
4,5.5,5,214,0.02336448598130841,Cr
4,6.0,134,214,0.6261682242990654,Cr
5,2.0,24,53,0.4528301886792453,Cr
5,2.333,2,53,0.03773584905660377,Cr
5,2.5,1,53,0.018867924528301886,Cr
5,3.0,1,53,0.018867924528301886,Cr
5,3.333,1,53,0.018867924528301886,Cr
5,3.667,1,53,0.018867924528301886,Cr
5,4.0,1,53,0.018867924528301886,Cr
5,4.667,2,53,0.03773584905660377,Cr
5,5.0,16,53,0.3018867924528302,Cr
5,5.333,4,53,0.07547169811320754,Cr
6,2.0,84,693,0.12121212121212122,Cr
6,2.167,1,693,0.001443001443001443,Cr
6,2.333,2,693,0.002886002886002886,Cr
6,2.5,32,693,0.046176046176046176,Cr
6,3.0,425,693,0.6132756132756133,Cr
6,3.333,2,693,0.002886002886002886,Cr
6,3.444,1,693,0.001443001443001443,Cr
6,3.5,59,693,0.08513708513708514,Cr
6,3.75,2,693,0.002886002886002886,Cr
6,4.0,39,693,0.05627705627705628,Cr
6,4.5,25,693,0.03607503607503607,Cr
6,5.0,20,693,0.02886002886002886,Cr
6,6.0,1,693,0.001443001443001443,Cr
7,2.0,1,1,1.0,Cr
