CN,charge,count,cn_total,fraction,element
1,3.333,14,14,1.0,Cr
3,3.0,2,3,0.6666666666666666,Cr
3,6.0,1,3,0.3333333333333333,Cr
4,2.0,23,214,0.10747663551401869,Cr
4,2.5,1,214,0.004672897196261682,Cr
4,3.0,21,214,0.09813084112149532,Cr
4,4.0,8,214,0.037383177570093455,Cr
4,5.0,21,214,0.09813084112149532,Cr
4,5.333,1,214,0.004672897196261682,Cr
4,5.5,5,214,0.02336448598130841,Cr
4,6.0,134,214,0.6261682242990654,Cr
5,2.0,24,53,0.4528301886792453,Cr
5,2.333,2,53,0.03773584905660377,Cr
5,2.5,1,53,0.018867924528301886,Cr
5,3.0,1,53,0.018867924528301886,Cr
5,3.333,1,53,0.018867924528301886,Cr
5,3.667,1,53,0.018867924528301886,Cr
5,4.0,1,53,0.018867924528301886,Cr
5,4.667,2,53,0.03773584905660377,Cr
5,5.0,16,53,0.3018867924528302,Cr
5,5.333,4,53,0.07547169811320754,Cr
6,2.0,84,693,0.12121212121212122,Cr
6,2.167,1,693,0.001443001443001443,Cr
6,2.333,2,693,0.002886002886002886,Cr
6,2.5,32,693,0.046176046176046176,Cr
6,3.0,425,693,0.6132756132756133,Cr
6,3.333,2,693,0.002886002886002886,Cr
6,3.444,1,693,0.001443001443001443,Cr
6,3.5,59,693,0.08513708513708514,Cr
6,3.75,2,693,0.002886002886002886,Cr
6,4.0,39,693,0.05627705627705628,Cr
6,4.5,25,693,0.03607503607503607,Cr
6,5.0,20,693,0.02886002886002886,Cr
6,6.0,1,693,0.001443001443001443,Cr
7,2.0,1,1,1.0,Cr
1,3.0,6,76,0.07894736842105263,V
1,3.333,14,76,0.18421052631578946,V
1,3.5,23,76,0.3026315789473684,V
1,3.667,2,76,0.02631578947368421,V
1,4.0,6,76,0.07894736842105263,V
1,4.333,14,76,0.18421052631578946,V
1,4.5,1,76,0.013157894736842105,V
1,4.667,8,76,0.10526315789473684,V
1,4.8,1,76,0.013157894736842105,V
1,5.0,1,76,0.013157894736842105,V
2,2.0,1,65,0.015384615384615385,V
2,3.333,1,65,0.015384615384615385,V
2,3.5,3,65,0.046153846153846156,V
2,3.667,12,65,0.18461538461538463,V
2,3.75,2,65,0.03076923076923077,V
2,4.0,9,65,0.13846153846153847,V
2,4.25,3,65,0.046153846153846156,V
2,4.333,6,65,0.09230769230769231,V
2,4.5,10,65,0.15384615384615385,V
2,4.6,1,65,0.015384615384615385,V
2,4.667,1,65,0.015384615384615385,V
2,4.75,10,65,0.15384615384615385,V
2,5.0,6,65,0.09230769230769231,V
3,3.0,7,40,0.175,V
3,3.25,1,40,0.025,V
3,3.333,2,40,0.05,V
3,4.333,6,40,0.15,V
3,4.5,12,40,0.3,V
3,4.667,7,40,0.175,V
3,5.0,5,40,0.125,V
4,2.0,3,668,0.004491017964071856,V
4,3.0,34,668,0.05089820359281437,V
4,3.25,1,668,0.0014970059880239522,V
4,3.333,14,668,0.020958083832335328,V
4,3.4,1,668,0.0014970059880239522,V
4,3.5,26,668,0.038922155688622756,V
4,4.0,27,668,0.040419161676646706,V
4,4.5,25,668,0.0374251497005988,V
4,4.667,7,668,0.010479041916167664,V
4,4.75,1,668,0.0014970059880239522,V
4,5.0,529,668,0.7919161676646707,V
5,2.0,3,258,0.011627906976744186,V
5,3.0,19,258,0.07364341085271318,V
5,3.333,7,258,0.027131782945736434,V
5,3.5,3,258,0.011627906976744186,V
5,3.6,1,258,0.003875968992248062,V
5,3.667,5,258,0.01937984496124031,V
5,4.0,69,258,0.26744186046511625,V
5,4.333,8,258,0.031007751937984496,V
5,4.5,30,258,0.11627906976744186,V
5,4.667,9,258,0.03488372093023256,V
5,4.75,1,258,0.003875968992248062,V
5,5.0,103,258,0.3992248062015504,V
6,2.0,116,1522,0.07621550591327202,V
6,2.167,1,1522,0.000657030223390276,V
6,2.333,1,1522,0.000657030223390276,V
6,2.5,68,1522,0.04467805519053877,V
6,2.615,1,1522,0.000657030223390276,V
6,2.8,1,1522,0.000657030223390276,V
6,2.933,1,1522,0.000657030223390276,V
6,3.0,435,1522,0.28580814717477004,V
6,3.333,14,1522,0.009198423127463863,V
6,3.375,1,1522,0.000657030223390276,V
6,3.5,233,1522,0.1530880420499343,V
6,3.667,6,1522,0.003942181340341655,V
6,3.75,1,1522,0.000657030223390276,V
6,3.786,1,1522,0.000657030223390276,V
6,4.0,370,1522,0.24310118265440211,V
6,4.333,1,1522,0.000657030223390276,V
6,4.5,81,1522,0.053219448094612355,V
6,4.667,27,1522,0.017739816031537452,V
6,4.75,3,1522,0.0019710906701708277,V
6,5.0,160,1522,0.10512483574244415,V
7,3.0,1,4,0.25,V
7,4.0,2,4,0.5,V
7,5.0,1,4,0.25,V
