element,CN,beta,beta0,method,n_points
Li,1.0,-0.8527060099569623,1.8503531776865414,Huber,30.0
Li,2.0,-0.831233335559124,1.715873089026823,Huber,33.0
Li,3.0,-0.7316151118799618,1.5034428787452,Huber,230.0
Li,4.0,-0.7280969825378777,1.475324395940628,Huber,2782.0
Li,5.0,-0.6404559956941149,1.3626614879896164,Huber,1056.0
Li,6.0,-0.5730557352203782,1.245394179000544,Huber,1933.0
Li,7.0,-0.5526381455856734,1.2857691004666265,Huber,46.0
Li,8.0,-0.5112446005967957,1.232386400484376,Huber,33.0
Na,2.0,-0.60274713202497,1.476701893310287,Huber,32.0
Na,3.0,-0.6035177009682519,1.5092401985756838,Huber,85.0
Na,4.0,-0.6276897440672231,1.5395913800139422,Huber,387.0
Na,5.0,-0.5878271631086571,1.4592443274675628,Huber,502.0
Na,6.0,-0.4935354173151819,1.272986290562242,Huber,2396.0
Na,7.0,-0.4809487282408693,1.241201210288783,Huber,759.0
Na,8.0,-0.4744349382061073,1.2375191536964867,Huber,1170.0
Na,9.0,-0.4622145556727921,1.2306378324706628,Huber,150.0
Na,10.0,-0.4139712428044504,1.14351301412393,Huber,33.0
Na,12.0,-0.39283069866805687,1.105503597827829,Huber,79.0
Li,3.0,-0.8357464,1.667837,Paper,
Li,4.0,-0.7243023,1.455689,Paper,
Li,5.0,-0.6276047,1.341745,Paper,
Li,6.0,-0.5548127,1.206631,Paper,
Li,7.0,-0.5432844,1.273605,Paper,
Li,8.0,-0.5309064,1.304413,Paper,
Na,4.0,-0.7043815,1.671151,Paper,
Na,5.0,-0.6006598,1.469015,Paper,
Na,6.0,-0.5260174,1.334314,Paper,
Na,7.0,-0.4750927,1.225427,Paper,
Na,8.0,-0.4615035,1.199589,Paper,
Na,9.0,-0.4390338,1.20402,Paper,
Na,10.0,-0.4014975,1.105862,Paper,
Na,12.0,-0.3939812,1.107717,Paper,
Li,1.0,-0.8097584331192327,1.784550154232699,RANSAC,30.0
Li,2.0,-0.8851305300740866,1.7981042753153784,RANSAC,33.0
Li,3.0,-0.8116015903896185,1.6400960043029988,RANSAC,230.0
Li,4.0,-0.7244211963889957,1.4705605531793502,RANSAC,2782.0
Li,5.0,-0.6347343314715882,1.356833624185591,RANSAC,1056.0
Li,6.0,-0.5727558631574301,1.2490133642684078,RANSAC,1933.0
Li,7.0,-0.551615477193895,1.2851318967949825,RANSAC,46.0
Li,8.0,-0.5114829393509133,1.232649457889831,RANSAC,33.0
Na,2.0,-0.6105471398439557,1.4883585083857092,RANSAC,32.0
Na,3.0,-0.595186120718378,1.4984907490829666,RANSAC,85.0
Na,4.0,-0.620469975144783,1.5264096354434402,RANSAC,387.0
Na,5.0,-0.5924473697149386,1.4688777623679499,RANSAC,502.0
Na,6.0,-0.49824208577747214,1.2841189218966105,RANSAC,2396.0
Na,7.0,-0.48978187516672783,1.2632878508435366,RANSAC,759.0
Na,8.0,-0.4732611470830001,1.2337079934218644,RANSAC,1170.0
Na,9.0,-0.4570880448328241,1.2255926613384973,RANSAC,150.0
Na,10.0,-0.4186263128722723,1.157720068328397,RANSAC,33.0
Na,12.0,-0.38471176211108055,1.0804065310895148,RANSAC,79.0
