file,element,CN,method,n_points,reason
df_consist_Ba.csv,Ba,15.0,OLS,1,n_points<10
df_consist_Ba.csv,Ba,15.0,Huber,1,n_points<10
df_consist_Ba.csv,Ba,15.0,RANSAC,1,n_points<10
df_consist_Ca.csv,Ca,1.0,OLS,7,n_points<10
df_consist_Ca.csv,Ca,1.0,Huber,7,n_points<10
df_consist_Ca.csv,Ca,1.0,RANSAC,7,n_points<10
df_consist_Ca.csv,Ca,2.0,OLS,4,n_points<10
df_consist_Ca.csv,Ca,2.0,Huber,4,n_points<10
df_consist_Ca.csv,Ca,2.0,RANSAC,4,n_points<10
df_consist_Ca.csv,Ca,11.0,OLS,4,n_points<10
df_consist_Ca.csv,Ca,11.0,Huber,4,n_points<10
df_consist_Ca.csv,Ca,11.0,RANSAC,4,n_points<10
df_consist_Cs.csv,Cs,1.0,OLS,5,n_points<10
df_consist_Cs.csv,Cs,1.0,Huber,5,n_points<10
df_consist_Cs.csv,Cs,1.0,RANSAC,5,n_points<10
df_consist_Cs.csv,Cs,13.0,OLS,1,n_points<10
df_consist_Cs.csv,Cs,13.0,Huber,1,n_points<10
df_consist_Cs.csv,Cs,13.0,RANSAC,1,n_points<10
df_consist_Cs.csv,Cs,14.0,OLS,3,n_points<10
df_consist_Cs.csv,Cs,14.0,Huber,3,n_points<10
df_consist_Cs.csv,Cs,14.0,RANSAC,3,n_points<10
df_consist_Cs.csv,Cs,15.0,OLS,1,n_points<10
df_consist_Cs.csv,Cs,15.0,Huber,1,n_points<10
df_consist_Cs.csv,Cs,15.0,RANSAC,1,n_points<10
df_consist_K.csv,K,15.0,OLS,8,n_points<10
df_consist_K.csv,K,15.0,Huber,8,n_points<10
df_consist_K.csv,K,15.0,RANSAC,8,n_points<10
df_consist_Li.csv,Li,9.0,OLS,3,n_points<10
df_consist_Li.csv,Li,9.0,Huber,3,n_points<10
df_consist_Li.csv,Li,9.0,RANSAC,3,n_points<10
df_consist_Mg.csv,Mg,3.0,OLS,3,n_points<10
df_consist_Mg.csv,Mg,3.0,Huber,3,n_points<10
df_consist_Mg.csv,Mg,3.0,RANSAC,3,n_points<10
df_consist_Mg.csv,Mg,7.0,OLS,3,n_points<10
df_consist_Mg.csv,Mg,7.0,Huber,3,n_points<10
df_consist_Mg.csv,Mg,7.0,RANSAC,3,n_points<10
df_consist_Mg.csv,Mg,8.0,OLS,8,n_points<10
df_consist_Mg.csv,Mg,8.0,Huber,8,n_points<10
df_consist_Mg.csv,Mg,8.0,RANSAC,8,n_points<10
df_consist_Na.csv,Na,1.0,OLS,5,n_points<10
df_consist_Na.csv,Na,1.0,Huber,5,n_points<10
df_consist_Na.csv,Na,1.0,RANSAC,5,n_points<10
df_consist_Na.csv,Na,11.0,OLS,7,n_points<10
df_consist_Na.csv,Na,11.0,Huber,7,n_points<10
df_consist_Na.csv,Na,11.0,RANSAC,7,n_points<10
df_consist_Rb.csv,Rb,1.0,OLS,8,n_points<10
df_consist_Rb.csv,Rb,1.0,Huber,8,n_points<10
df_consist_Rb.csv,Rb,1.0,RANSAC,8,n_points<10
df_consist_Rb.csv,Rb,13.0,OLS,1,n_points<10
df_consist_Rb.csv,Rb,13.0,Huber,1,n_points<10
df_consist_Rb.csv,Rb,13.0,RANSAC,1,n_points<10
df_consist_Rb.csv,Rb,14.0,OLS,3,n_points<10
df_consist_Rb.csv,Rb,14.0,Huber,3,n_points<10
df_consist_Rb.csv,Rb,14.0,RANSAC,3,n_points<10
df_consist_Rb.csv,Rb,15.0,OLS,5,n_points<10
df_consist_Rb.csv,Rb,15.0,Huber,5,n_points<10
df_consist_Rb.csv,Rb,15.0,RANSAC,5,n_points<10
df_consist_Sr.csv,Sr,3.0,OLS,5,n_points<10
df_consist_Sr.csv,Sr,3.0,Huber,5,n_points<10
df_consist_Sr.csv,Sr,3.0,RANSAC,5,n_points<10
