level,name,c1,c2,R2,MAE,RMSE,n
global,all,-1.4801235877482128,0.7815592748733228,0.7004943287597047,0.17408223685679472,0.21797671748546224,91
group,Group1,-1.993262761238792,0.45336996541677554,0.6120663931862478,0.16679489719280388,0.20678846248682659,53
group,Group2,-1.0106284881514016,1.2230918785367222,0.6866957997377452,0.13852804177753128,0.1671372651720058,38
element,Ba,-2.3728838535726737,0.3638227606660267,0.9984284512695708,0.008986173017234648,0.01035714663192077,13
element,Ca,-1.9360118733843765,0.43826784583928835,0.9932272341090497,0.012004253746120587,0.017606185929204467,9
element,Cs,-2.8325415266863305,0.22620851412587695,0.9996968380354816,0.00573756818461649,0.007267803249271525,11
element,K,-2.5319945045717547,0.21034396089664464,0.9940081693419842,0.016519516978881058,0.02419997979452107,13
element,Li,-1.7035464042398858,0.304525178770384,0.9358225102541223,0.04748381459961709,0.053564597784828284,8
element,Mg,-1.7950290604587662,0.2825951604178296,0.9921050249335889,0.010768043733754507,0.012983636398565824,3
element,Na,-1.8728501787744185,0.3590218394709195,0.9941491583870553,0.010166393713620759,0.011557838356674172,10
element,Rb,-2.600184703927385,0.24501947791085632,0.9983558572309608,0.009679597605881581,0.01142173013132221,11
element,Sr,-2.2067172720137562,0.3476942468737425,0.9895473438838541,0.020636273636914237,0.02736466222228507,11
