element,CN,method,beta,beta0,n_points
Al,3.0,Huber,-1.2785600026852377,2.467496219266196,11
Al,4.0,Huber,-3.4987405669146168,6.19641473553495,503
Al,5.0,Huber,-2.0372954559696854,3.8044305203867124,62
Al,6.0,Huber,-1.4924376597072322,2.869076109307066,543
Ga,4.0,Huber,-3.4052645025462867,6.358530911762732,264
Ga,5.0,Huber,-1.966944384125679,3.8384317497630787,49
Ga,6.0,Huber,-1.461905119255367,2.9267598200796465,315
Ge,4.0,Huber,0.7920109000590477,-1.0688298878673503,430
Ge,5.0,Huber,-3.399487211020817,6.53104604725304,44
Ge,6.0,Huber,-2.6368783370622433,5.01199391172494,132
In,4.0,Huber,-3.2550630682659794,6.88877352860937,29
In,5.0,Huber,-1.6524736413426984,3.582371646357254,28
In,6.0,Huber,-1.3674921893855074,2.985340469536044,397
In,7.0,Huber,-1.2284455011002617,2.785990133465928,14
Pb,2.0,Huber,-1.2365886703021143,3.0065118969744997,23
Pb,3.0,Huber,-1.1536105482407466,2.8852026438977254,92
Pb,4.0,Huber,-1.023088449844627,2.6060258427709795,109
Pb,5.0,Huber,-1.0586317656029283,2.732811268308396,126
Pb,6.0,Huber,-0.9203703814210146,2.399353127326722,198
Pb,7.0,Huber,-0.7815858950508605,2.0916203896453722,134
Pb,8.0,Huber,-0.7352779810972397,2.0014794407299843,146
Pb,9.0,Huber,-0.6810943116783474,1.8863587417913088,89
Pb,10.0,Huber,-0.6542230070959458,1.834641657735497,40
Pb,12.0,Huber,-0.5613990805135709,1.5970929085611962,28
Sn,3.0,Huber,-2.0540425813311503,4.5177774651478595,39
Sn,4.0,Huber,-1.5159482980927965,3.4514887187016225,37
Sn,5.0,Huber,-1.0949584511494395,2.69280023684406,23
Sn,6.0,Huber,-2.231367544604268,4.681428191906958,489
Tl,3.0,Huber,-0.7453914819187557,2.0181155757896376,18
Tl,4.0,Huber,-3.3749146941881363,7.4378850150338165,36
Tl,5.0,Huber,-0.6243099219806469,1.7756867475184381,25
Tl,6.0,Huber,-0.7740885430354316,2.22852809999633,89
Tl,7.0,Huber,-0.5375731791842218,1.6130324652917067,32
Tl,8.0,Huber,-0.5247442355698522,1.5955283773383122,33
Tl,9.0,Huber,-0.46213050775751446,1.4151820613728172,24
Tl,10.0,Huber,-0.43245274660439964,1.346078459660355,13
Tl,12.0,Huber,-0.3913626264837919,1.2597605443822766,11
Al,3.0,OLS,-1.1036660789642323,2.1394393463575834,11
Al,4.0,OLS,-3.3398640519709604,5.940172963835129,503
Al,5.0,OLS,-2.03424671491942,3.8020305705154773,62
Al,6.0,OLS,-1.486794046863441,2.860743394580052,543
Ga,4.0,OLS,-3.4084113765672948,6.372372113969058,264
Ga,5.0,OLS,-1.989032035698268,3.8842326291957328,49
Ga,6.0,OLS,-1.458772536850884,2.923511761692124,315
Ge,4.0,OLS,0.6639153584392846,-0.8424949474716962,430
Ge,5.0,OLS,-3.140960202674899,6.105014973568882,44
Ge,6.0,OLS,-2.6291470305058873,4.9976658065397865,132
In,4.0,OLS,-3.100539953736625,6.650247249977124,29
In,5.0,OLS,-1.6648387934259525,3.611534099988257,28
In,6.0,OLS,-1.3795873578957825,3.012952346645842,397
In,7.0,OLS,-1.1948891706248936,2.739886603804376,14
Pb,2.0,OLS,-1.2015107232086795,2.94282372594119,23
Pb,3.0,OLS,-1.4378732001075252,3.4764691906574865,92
Pb,4.0,OLS,-1.0434722660825435,2.641059656621293,109
