level,name,c1,c2,R2,MAE,RMSE,n
global,all,-1.7688123407043879,0.6279037165897425,0.9774818003089694,0.19670951611634305,0.2688779993526324,37
group,Group13,-1.7813603327805985,0.5520638512235725,0.9707356282524011,0.2377866505594326,0.3248745002973758,20
group,Group14,-1.7727300484550732,0.689778757118436,0.9907024164533648,0.1183012220275631,0.15726337593859682,17
element,Al,-1.670488826515216,0.36515265793864016,0.9996764064241515,0.023410791748733284,0.0260375082263876,4
element,Ga,-1.7628633502061337,0.3587044564752446,0.9999614990520965,0.008182084412597638,0.009005820689925595,3
element,Ge,-1.8010118309985854,0.3430217680223202,0.9996625434109762,0.05338462550023756,0.06032088247127257,3
element,In,-2.0455992377626715,0.22334356614091933,0.9996163794365197,0.028307408897735642,0.03249202335186324,4
element,Pb,-2.1143388441130138,0.44225047284500363,0.9969418333631009,0.017123796811961876,0.025621433425320164,10
element,Sn,-1.8043276748900372,0.7250698049765689,0.9952560314124455,0.04327089263646311,0.05589532589972055,4
element,Tl,-2.060795851754788,0.4975091618330578,0.9992040645806494,0.035578594928174265,0.051936311028874735,9
