element,CN,Z,beta,beta0,ionic_radius,radius_cn_used,radius_match_type
Al,3.0,3,-1.2785600026852375,2.467496219266196,0.39,4,nearest
Al,4.0,3,-3.4987405669146168,6.19641473553495,0.39,4,exact
Al,5.0,3,-2.0372954559696854,3.804430520386712,0.48,5,exact
Al,6.0,3,-1.4924376597072322,2.869076109307066,0.535,6,exact
Ga,4.0,3,-3.4052645025462867,6.358530911762732,0.47,4,exact
Ga,5.0,3,-1.966944384125679,3.838431749763078,0.55,5,exact
Ga,6.0,3,-1.461905119255367,2.9267598200796465,0.62,6,exact
Ge,4.0,4,0.7920109000590477,-1.0688298878673503,0.53,4,exact
Ge,5.0,4,-3.399487211020817,6.53104604725304,0.53,4,nearest
Ge,6.0,4,-2.6368783370622433,5.01199391172494,0.67,6,exact
In,4.0,3,-3.2550630682659794,6.88877352860937,0.62,4,exact
In,5.0,3,-1.6524736413426984,3.582371646357254,0.62,4,nearest
In,6.0,3,-1.3674921893855074,2.985340469536044,0.8,6,exact
In,7.0,3,-1.2284455011002615,2.785990133465928,0.8,6,nearest
Pb,2.0,4,-1.2365886703021145,3.0065118969744997,0.775,6,nearest
Pb,3.0,4,-1.1536105482407466,2.8852026438977254,0.775,6,nearest
Pb,4.0,4,-1.023088449844627,2.6060258427709795,0.775,6,nearest
Pb,5.0,4,-1.0586317656029285,2.732811268308396,0.775,6,nearest
Pb,6.0,4,-0.9203703814210146,2.399353127326722,0.775,6,exact
Pb,7.0,4,-0.7815858950508605,2.091620389645372,0.775,6,nearest
Pb,8.0,4,-0.7352779810972397,2.0014794407299843,0.94,8,exact
Pb,9.0,4,-0.6810943116783474,1.8863587417913088,0.98,9,exact
Pb,10.0,4,-0.6542230070959458,1.834641657735497,1.03,10,exact
Pb,12.0,4,-0.5613990805135709,1.5970929085611962,1.19,12,exact
Sn,3.0,4,-2.0540425813311503,4.5177774651478595,0.69,4,nearest
Sn,4.0,4,-1.5159482980927963,3.4514887187016225,0.69,4,exact
Sn,5.0,4,-1.0949584511494397,2.69280023684406,0.76,5,exact
Sn,6.0,4,-2.231367544604268,4.681428191906958,0.83,6,exact
Tl,3.0,3,-0.7453914819187557,2.0181155757896376,0.885,6,nearest
Tl,4.0,3,-3.3749146941881363,7.437885015033816,0.885,6,nearest
Tl,5.0,3,-0.6243099219806469,1.775686747518438,0.885,6,nearest
Tl,6.0,3,-0.7740885430354316,2.22852809999633,0.885,6,exact
Tl,7.0,3,-0.5375731791842218,1.6130324652917067,0.885,6,nearest
Tl,8.0,3,-0.5247442355698522,1.5955283773383122,0.98,8,exact
Tl,9.0,3,-0.4621305077575144,1.4151820613728172,0.98,8,nearest
Tl,10.0,3,-0.4324527466043996,1.346078459660355,0.98,8,nearest
Tl,12.0,3,-0.3913626264837919,1.2597605443822766,0.98,8,nearest
