element,CN,method,beta,beta0,n_points,Z,group,Z_over_CN,Z_times_CN,beta_x_Z,beta_x_CN,ionic_radius,radius_cn_used,radius_match_type,beta0_over_beta,beta_x_radius,ratio_pred,ratio_resid
Al,3.0,Huber,-1.2785600026852375,2.467496219266196,11,3,Group13,1.0,9.0,-3.8356800080557125,-3.8356800080557125,0.39,4,nearest,-1.9299025576304196,-0.49863840104724266,-1.6497919846111673,-0.28011057301925235
Al,4.0,Huber,-3.4987405669146168,6.19641473553495,503,3,Group13,0.75,12.0,-10.49622170074385,-13.994962267658467,0.39,4,exact,-1.7710414982266867,-1.3645088210967007,-1.6497919846111673,-0.12124951361551939
Al,5.0,Huber,-2.0372954559696854,3.804430520386712,62,3,Group13,0.6,15.0,-6.111886367909056,-10.186477279848427,0.48,5,exact,-1.867392630381109,-0.9779018188654489,-1.8324480055111412,-0.034944624869967855
Al,6.0,Huber,-1.4924376597072322,2.869076109307066,543,3,Group13,0.5,18.0,-4.477312979121697,-8.954625958243394,0.535,6,exact,-1.9224093486557323,-0.7984541479433692,-1.9440711293944588,0.021661780738726488
Ga,4.0,Huber,-3.4052645025462867,6.358530911762732,264,3,Group13,0.75,12.0,-10.21579350763886,-13.621058010185147,0.47,4,exact,-1.8672649090865454,-1.6004743161967547,-1.8121528920778107,-0.05511201700873469
Ga,5.0,Huber,-1.966944384125679,3.838431749763078,49,3,Group13,0.6,15.0,-5.900833152377038,-9.834721920628395,0.55,5,exact,-1.9514693860900845,-1.0818194112691235,-1.9745137995444544,0.023044413454369916
Ga,6.0,Huber,-1.461905119255367,2.9267598200796465,315,3,Group13,0.5,18.0,-4.3857153577661006,-8.771430715532201,0.62,6,exact,-2.002017628593034,-0.9063811739383275,-2.1165795935777676,0.11456196498473359
Ge,4.0,Huber,0.7920109000590477,-1.0688298878673503,430,4,Group14,1.0,16.0,3.168043600236191,3.168043600236191,0.53,4,exact,-1.349514113742203,0.4197657770312953,-1.9339235726777935,0.5844094589355904
Ge,5.0,Huber,-3.399487211020817,6.53104604725304,44,4,Group14,0.8,20.0,-13.597948844083268,-16.997436055104085,0.53,4,nearest,-1.9211856500239224,-1.801728221841033,-1.9339235726777935,0.012737922653871081
Ge,6.0,Huber,-2.6368783370622433,5.01199391172494,132,4,Group14,0.6666666666666666,24.0,-10.547513348248973,-15.82127002237346,0.67,6,exact,-1.9007300569311905,-1.766708485831703,-2.21805516074442,0.31732510381322965
In,4.0,Huber,-3.2550630682659794,6.88877352860937,29,3,Group13,0.75,12.0,-9.765189204797938,-13.020252273063917,0.62,4,exact,-2.1163256699290693,-2.0181391023249073,-2.1165795935777676,0.000253923648698251
In,5.0,Huber,-1.6524736413426984,3.582371646357254,28,3,Group13,0.6,15.0,-4.957420924028095,-8.262368206713491,0.62,4,nearest,-2.1678842897889976,-1.024533657632473,-2.1165795935777676,-0.051304696211230016
In,6.0,Huber,-1.3674921893855074,2.985340469536044,397,3,Group13,0.5,18.0,-4.102476568156522,-8.204953136313044,0.8,6,exact,-2.1830767975921885,-1.093993751508406,-2.481891635377716,0.2988148377855273
In,7.0,Huber,-1.2284455011002615,2.785990133465928,14,3,Group13,0.42857142857142855,21.0,-3.6853365033007845,-8.599118507701832,0.8,6,nearest,-2.2678988453054254,-0.9827564008802092,-2.481891635377716,0.21399279007229044
Pb,2.0,Huber,-1.2365886703021145,3.0065118969744997,23,4,Group14,2.0,8.0,-4.946354681208458,-2.473177340604229,0.775,6,nearest,-2.4312950370473394,-0.9583562194841387,-2.43115385179439,-0.00014118525294959383
Pb,3.0,Huber,-1.1536105482407466,2.8852026438977254,92,4,Group14,1.3333333333333333,12.0,-4.614442192962986,-3.46083164472224,0.775,6,nearest,-2.5010196450592903,-0.8940481748865786,-2.43115385179439,-0.0698657932649005
Pb,4.0,Huber,-1.023088449844627,2.6060258427709795,109,4,Group14,1.0,16.0,-4.092353799378508,-4.092353799378508,0.775,6,nearest,-2.5472146060946614,-0.792893548629586,-2.43115385179439,-0.11606075430027163
Pb,5.0,Huber,-1.0586317656029285,2.732811268308396,126,4,Group14,0.8,20.0,-4.234527062411714,-5.293158828014643,0.775,6,nearest,-2.5814559482370742,-0.8204396183422696,-2.43115385179439,-0.15030209644268444
Pb,6.0,Huber,-0.9203703814210146,2.399353127326722,198,4,Group14,0.6666666666666666,24.0,-3.6814815256840583,-5.522222288526088,0.775,6,exact,-2.606943004426346,-0.7132870456012863,-2.43115385179439,-0.17578915263195638
Pb,7.0,Huber,-0.7815858950508605,2.091620389645372,134,4,Group14,0.5714285714285714,28.0,-3.126343580203442,-5.471101265356023,0.775,6,nearest,-2.676123511043227,-0.6057290686644169,-2.43115385179439,-0.24496965924883707
Pb,8.0,Huber,-0.7352779810972397,2.0014794407299843,146,4,Group14,0.5,32.0,-2.941111924388959,-5.882223848777918,0.94,8,exact,-2.7220717771844862,-0.6911613022314054,-2.766023223444342,0.04395144625985559
Pb,9.0,Huber,-0.6810943116783474,1.8863587417913088,89,4,Group14,0.4444444444444444,36.0,-2.7243772467133898,-6.1298488051051265,0.98,9,exact,-2.769599906278703,-0.6674724254447805,-2.8472036771776636,0.07760377089896053
Pb,10.0,Huber,-0.6542230070959458,1.834641657735497,40,4,Group14,0.4,40.0,-2.6168920283837833,-6.542230070959459,1.03,10,exact,-2.8043062347797187,-0.6738496973088243,-2.9486792443443166,0.14437300956459787
Pb,12.0,Huber,-0.5613990805135709,1.5970929085611962,28,4,Group14,0.3333333333333333,48.0,-2.2455963220542836,-6.736788966162851,1.19,12,exact,-2.8448441830367215,-0.6680649058111493,-3.273401059277603,0.42855687624088157
Sn,3.0,Huber,-2.0540425813311503,4.5177774651478595,39,4,Group14,1.3333333333333333,12.0,-8.216170325324601,-6.162127743993451,0.69,4,nearest,-2.1994565770978576,-1.4172893811184937,-2.2586453876110806,0.059188810513223
Sn,4.0,Huber,-1.5159482980927963,3.4514887187016225,37,4,Group14,1.0,16.0,-6.063793192371185,-6.063793192371185,0.69,4,exact,-2.2767852459374214,-1.0460043256840295,-2.2586453876110806,-0.018139858326340796
Sn,5.0,Huber,-1.0949584511494397,2.69280023684406,23,4,Group14,0.8,20.0,-4.379833804597759,-5.474792255747198,0.76,5,exact,-2.459271613472891,-0.8321684228735742,-2.400711181644394,-0.058560431828496906
Sn,6.0,Huber,-2.231367544604268,4.681428191906958,489,4,Group14,0.6666666666666666,24.0,-8.925470178417072,-13.388205267625608,0.83,6,exact,-2.098008552301144,-1.8520350620215424,-2.542776975677707,0.44476842337656297
Tl,3.0,Huber,-0.7453914819187557,2.0181155757896376,18,3,Group13,1.0,9.0,-2.236174445756267,-2.236174445756267,0.885,6,nearest,-2.7074572553400915,-0.6596714614980989,-2.6544000995610246,-0.05305715577906689
Tl,4.0,Huber,-3.3749146941881363,7.437885015033816,36,3,Group13,0.75,12.0,-10.124744082564408,-13.499658776752545,0.885,6,nearest,-2.2038734868891434,-2.9867995043565005,-2.6544000995610246,0.4505266126718812
Tl,5.0,Huber,-0.6243099219806469,1.775686747518438,25,3,Group13,0.6,15.0,-1.8729297659419408,-3.1215496099032345,0.885,6,nearest,-2.844239191145648,-0.5525142809528726,-2.6544000995610246,-0.18983909158462353
Tl,6.0,Huber,-0.7740885430354316,2.22852809999633,89,3,Group13,0.5,18.0,-2.322265629106295,-4.64453125821259,0.885,6,exact,-2.8789059340131917,-0.685068360586357,-2.6544000995610246,-0.2245058344521671
Tl,7.0,Huber,-0.5375731791842218,1.6130324652917067,32,3,Group13,0.42857142857142855,21.0,-1.6127195375526653,-3.7630122542895523,0.885,6,nearest,-3.0005821118894294,-0.47575226357803624,-2.6544000995610246,-0.34618201232840473
