element,CN,Z,beta,beta0,ionic_radius,radius_cn_used,radius_match_type
Al,3.0,3,-1.2785600026852375,2.467496219266196,0.39,4,nearest
Al,4.0,3,-3.4987405669146168,6.19641473553495,0.39,4,exact
Al,5.0,3,-2.0372954559696854,3.804430520386712,0.48,5,exact
Al,6.0,3,-1.4924376597072322,2.869076109307066,0.535,6,exact
Ga,4.0,3,-3.4052645025462867,6.358530911762732,0.47,4,exact
Ga,5.0,3,-1.966944384125679,3.838431749763078,0.55,5,exact
Ga,6.0,3,-1.461905119255367,2.9267598200796465,0.62,6,exact
In,4.0,3,-3.2550630682659794,6.88877352860937,0.62,4,exact
In,5.0,3,-1.6524736413426984,3.582371646357254,0.62,4,nearest
In,6.0,3,-1.3674921893855074,2.985340469536044,0.8,6,exact
In,7.0,3,-1.2284455011002615,2.785990133465928,0.8,6,nearest
