element,CN,Z,beta,beta0,ionic_radius,radius_cn_used,radius_match_type,c1_target
Ba,1.0,2,-0.9064240910670625,2.5072325791522365,1.35,6,nearest,-2.4890533422634498
Ba,2.0,2,-0.9010926861637542,2.4864004313095323,1.35,6,nearest,-2.4796137396060125
Ba,3.0,2,-0.7733797636505176,2.189089575589954,1.35,6,nearest,-2.508375907278656
Ba,4.0,2,-0.8170113803767188,2.3205445032691694,1.35,6,nearest,-2.539073371907504
Ba,5.0,2,-0.7877989111088018,2.2399408450621485,1.35,6,nearest,-2.5297231748407203
Ba,6.0,2,-0.7256000856636949,2.0825442493765296,1.35,6,exact,-2.529641995968749
Ba,7.0,2,-0.763872967093139,2.188587920592469,1.38,7,exact,-2.5435407137997923
Ba,8.0,2,-0.711086918734388,2.061623100534086,1.42,8,exact,-2.5554844207242033
Ba,9.0,2,-0.6688866990607667,1.952484386539454,1.47,9,exact,-2.5532050387845406
Ba,10.0,2,-0.6122946369455636,1.8100569716614208,1.52,10,exact,-2.557233430106408
Ba,11.0,2,-0.6079910954970416,1.815985560763347,1.57,11,exact,-2.5905681663095432
Ba,12.0,2,-0.5587190964864086,1.6746936397703092,1.61,12,exact,-2.5608125948275497
Ba,13.0,2,-0.5843575652696971,1.7495564219254789,1.61,12,nearest,-2.579822246050205
Be,3.0,2,-1.851441892374565,2.961343252717095,0.16,3,exact,-1.405323958181714
Be,4.0,2,-1.4358473529114495,2.3600056659838775,0.27,4,exact,-1.3923788986294257
Ca,3.0,2,-0.8357643845318654,2.0592457755232663,1.0,6,nearest,-2.1192188808042753
Ca,4.0,2,-0.8951264613725521,2.196692036607713,1.0,6,nearest,-2.133864383885392
Ca,5.0,2,-0.9149520697058668,2.223227817724169,1.0,6,nearest,-2.1145143153585924
Ca,6.0,2,-0.8727080597154062,2.085798699846728,1.0,6,exact,-2.052261109364886
Ca,7.0,2,-0.8107965085263504,2.0099266726367593,1.06,7,exact,-2.1242741832921985
Ca,8.0,2,-0.7583980132878936,1.9020999109512904,1.12,8,exact,-2.129562791281089
Ca,9.0,2,-0.6696651326310844,1.7272858343556123,1.18,9,exact,-2.1543987231361825
Ca,10.0,2,-0.6686341303569617,1.732671783716149,1.23,10,exact,-2.1677766386311275
Ca,12.0,2,-0.5799652331890722,1.5711806133033182,1.34,12,exact,-2.2317879280255055
Cs,2.0,1,-0.9261127025197816,2.850880503877059,1.67,6,nearest,-2.845714025103937
Cs,3.0,1,-0.6331412575512796,2.029767815476427,1.67,6,nearest,-2.8693480270175638
Cs,4.0,1,-0.6527497797370228,2.0629705622861176,1.67,6,nearest,-2.8276276528408917
Cs,5.0,1,-0.610915889468754,1.9512774415566991,1.67,6,nearest,-2.8405408237855454
Cs,6.0,1,-0.5409314054243239,1.7594624869315143,1.67,6,exact,-2.856368295471013
Cs,7.0,1,-0.5035104037213379,1.654053543411116,1.67,6,nearest,-2.860034172026204
Cs,8.0,1,-0.4558153167365915,1.515526836443681,1.74,8,exact,-2.854084095529454
Cs,9.0,1,-0.4437852689017762,1.4820952331548545,1.78,9,exact,-2.8567112148003395
Cs,10.0,1,-0.4432914852665517,1.4874656822826011,1.81,10,exact,-2.8764642429621423
Cs,11.0,1,-0.4375385817233887,1.4772418096587203,1.85,11,exact,-2.8952003195284073
Cs,12.0,1,-0.3774096448341487,1.2841858638625605,1.88,12,exact,-2.826815427889653
K,1.0,1,-0.6731723471258115,1.9868012242493416,1.37,4,nearest,-2.593986314421739
K,2.0,1,-0.7608316371068391,2.1178691400143688,1.37,4,nearest,-2.4482319688831753
K,3.0,1,-0.7183360986552043,2.030684671744919,1.37,4,nearest,-2.4754897459067116
K,4.0,1,-0.6010674863396308,1.7116360359468852,1.37,4,exact,-2.418109474230824
K,5.0,1,-0.5893222147213534,1.680142483857683,1.37,4,nearest,-2.411790121831522
K,6.0,1,-0.5288283262093528,1.529616528085496,1.38,6,exact,-2.4009993397284117
K,7.0,1,-0.5054403163202198,1.4740698137371322,1.46,7,exact,-2.4024986527679317
K,8.0,1,-0.4693779600427403,1.389059543350739,1.51,8,exact,-2.406910101641871
K,9.0,1,-0.4455917173256933,1.3395345090073634,1.55,9,exact,-2.4292668687316006
K,10.0,1,-0.4288782429840233,1.3017079512979013,1.59,10,exact,-2.437704434394123
K,11.0,1,-0.3875876721253825,1.2082347537664628,1.59,10,nearest,-2.4626742465431084
K,12.0,1,-0.390183099675326,1.19917061202214,1.64,12,exact,-2.409411894780962
K,13.0,1,-0.3968609097761283,1.225256698899543,1.64,12,nearest,-2.4430858864054574
Li,1.0,1,-0.8527060099569623,1.8503531776865416,0.59,4,nearest,-1.7939981344957656
Li,2.0,1,-0.831233335559124,1.715873089026823,0.59,4,nearest,-1.6627703222763062
Li,3.0,1,-0.7316151118799618,1.5034428787452,0.59,4,nearest,-1.5886935886611657
Li,4.0,1,-0.7280969825378777,1.475324395940628,0.59,4,exact,-1.5528245208243943
Li,5.0,1,-0.6404559956941149,1.3626614879896164,0.59,4,nearest,-1.5961734070165852
