element,CN,n_points,beta,beta0,method
Li,1.0,30,-0.8395525517122693,1.847568113586718,OLS
Li,2.0,33,-0.8109641901861137,1.7118253908804026,OLS
Li,3.0,230,-0.7496726143949355,1.543696397664565,OLS
Li,4.0,2782,-0.7261516704670194,1.4758380163193725,OLS
Li,5.0,1056,-0.6294550192761122,1.3500733573088262,OLS
Li,6.0,1933,-0.5720152042066404,1.249854470176879,OLS
Li,7.0,46,-0.5516154771938949,1.2851318967949832,OLS
Li,8.0,33,-0.5114829393509135,1.2326494578898317,OLS
Na,1.0,5,-0.583170412029349,1.4173679808455142,OLS
Na,2.0,32,-0.627381642264962,1.5298603318833786,OLS
Na,3.0,85,-0.5992063814130897,1.5085698836831105,OLS
Na,4.0,387,-0.6285768062646111,1.5410654638813421,OLS
Na,5.0,502,-0.5916878995008034,1.46966050117297,OLS
Na,6.0,2396,-0.5063833628340654,1.3006359787383022,OLS
Na,7.0,759,-0.49217546738803336,1.269841771934903,OLS
Na,8.0,1170,-0.4770336959484378,1.2450583822924748,OLS
Na,9.0,150,-0.45286480844669,1.2174892944140447,OLS
Na,10.0,33,-0.4186263128722719,1.1577200683283961,OLS
Na,11.0,7,-0.4650195435204314,1.2819027280723576,OLS
Na,12.0,79,-0.4021099384204234,1.1316745315387398,OLS
K,1.0,15,-0.6899112070535571,2.014129534834343,OLS
K,2.0,37,-0.806657718773833,2.240663736790593,OLS
K,3.0,41,-0.7855227577693302,2.212421743543449,OLS
K,4.0,133,-0.599555935408756,1.7184191381619471,OLS
K,5.0,151,-0.6124977906185416,1.755254684376661,OLS
K,6.0,360,-0.5235804473950046,1.517600801266793,OLS
K,7.0,230,-0.523615509906247,1.5248256170462564,OLS
K,8.0,295,-0.46805846641974247,1.3879014922742041,OLS
K,9.0,267,-0.4497526720773295,1.353203216747969,OLS
K,10.0,188,-0.43515879762909626,1.3233276897517223,OLS
K,11.0,25,-0.3812741900647465,1.198349790382155,OLS
K,12.0,109,-0.38558648490151726,1.1872706113744076,OLS
K,13.0,11,-0.39442324390394684,1.2154879632752227,OLS
K,15.0,8,-0.40536822518037735,1.250601252055671,OLS
Rb,1.0,8,-1.0260583086731832,2.778681370910834,OLS
Rb,2.0,13,-0.6480613082704051,1.91726170291218,OLS
Rb,3.0,25,-0.6173513155972495,1.8614089201214281,OLS
Rb,4.0,83,-0.6397773875698953,1.923748280836592,OLS
Rb,5.0,98,-0.5965206072294611,1.8021003019552535,OLS
Rb,6.0,136,-0.5346648511496234,1.6509711398372,OLS
Rb,7.0,71,-0.5192170530906272,1.594100195971722,OLS
Rb,8.0,116,-0.45169880271809204,1.4126728703125855,OLS
Rb,9.0,97,-0.45383086459010175,1.4228430297880894,OLS
Rb,10.0,93,-0.4387235776894901,1.3915382426702814,OLS
Rb,11.0,13,-0.43487582169826433,1.398108522672798,OLS
Rb,12.0,78,-0.3563715151462208,1.1670229323520318,OLS
Rb,15.0,5,-0.40466485823279996,1.2812872194371372,OLS
Cs,1.0,5,-0.7293373313658216,2.30683920479858,OLS
Cs,2.0,12,-0.9039875453288464,2.7861924679450882,OLS
Cs,3.0,26,-0.6685837637543445,2.135744033503147,OLS
Cs,4.0,57,-0.6682876631942616,2.111661927301867,OLS
Cs,5.0,67,-0.6127822222370541,1.9607120673449854,OLS
Cs,6.0,111,-0.5397300903157948,1.7646535748436911,OLS
Cs,7.0,57,-0.5103767725431676,1.6789718269428626,OLS
Cs,8.0,82,-0.46338381634575154,1.5378132621598717,OLS
Cs,9.0,82,-0.4441812297114838,1.4863228527349674,OLS
Cs,10.0,73,-0.4403301401722083,1.4863660509432677,OLS
Cs,11.0,20,-0.43566283009679635,1.4725131683869102,OLS
Cs,12.0,42,-0.38208854596124475,1.302868203509216,OLS
Be,3.0,17,-1.944844758618472,3.091289761405598,OLS
Be,4.0,126,-1.4407433706242863,2.3705071303412524,OLS
Mg,4.0,167,-1.1307628542525576,2.2950947856039767,OLS
Mg,5.0,107,-1.0793892047844031,2.2385010045121962,OLS
Mg,6.0,1084,-0.9214069800631619,1.9381097894140893,OLS
Mg,8.0,8,-0.7087765746529172,1.6451417757639726,OLS
Ca,1.0,7,-0.9650901738840865,2.3407491216644893,OLS
Ca,3.0,10,-0.8061966192414676,1.995049579075237,OLS
Ca,4.0,44,-0.9378467018920212,2.3065136720035255,OLS
Ca,5.0,79,-0.9261124917867999,2.2544453522248222,OLS
Ca,6.0,738,-0.8764248489645255,2.0922308535764342,OLS
Ca,7.0,372,-0.8142978727794092,2.0215489247319085,OLS
Ca,8.0,795,-0.7511930442250646,1.893625079595423,OLS
Ca,9.0,153,-0.6618933895231023,1.715773231717808,OLS
Ca,10.0,20,-0.6611631530108586,1.7281111605792614,OLS
Ca,12.0,29,-0.5803593658912227,1.5774196602555843,OLS
Sr,1.0,10,-0.9744286882112216,2.4661139046526186,OLS
Sr,2.0,13,-0.621980501021943,1.6533954845413148,OLS
Sr,3.0,5,-0.8113061698676474,2.12111277041243,OLS
Sr,4.0,73,-0.6894560851488923,1.9165244321765331,OLS
Sr,5.0,30,-0.7107785941751469,1.9594999283560965,OLS
Sr,6.0,207,-0.8228973677236399,2.1623043124591126,OLS
Sr,7.0,184,-0.7849767610652467,2.0880886099245766,OLS
Sr,8.0,635,-0.7374338440200645,2.011314947097949,OLS
Sr,9.0,503,-0.6663742698733396,1.8166604079530977,OLS
Sr,10.0,145,-0.6116299794835824,1.7096362635037177,OLS
Sr,11.0,55,-0.5345101369738618,1.506145659469439,OLS
Sr,12.0,301,-0.5511562283715065,1.5711101435448867,OLS
Ba,1.0,18,-0.7460109513373299,2.142229793157033,OLS
Ba,2.0,27,-0.7225728565628917,2.0950006005444486,OLS
Ba,3.0,32,-0.7817957586004938,2.225047778993477,OLS
Ba,4.0,42,-0.8649532851113445,2.4309809525380537,OLS
Ba,5.0,38,-0.8296119003302633,2.3444456537655487,OLS
Ba,6.0,236,-0.7518680409581487,2.1500213464127857,OLS
Ba,7.0,162,-0.7554409735727229,2.174456396065832,OLS
Ba,8.0,418,-0.7030043692236404,2.047704751905928,OLS
Ba,9.0,488,-0.6648050040928483,1.9447488578747898,OLS
Ba,10.0,468,-0.6125348803147906,1.8156712039041154,OLS
Ba,11.0,124,-0.6092753754852585,1.8235457416710497,OLS
Ba,12.0,644,-0.5570045780218985,1.6725251597663153,OLS
Ba,13.0,10,-0.5843236394744113,1.7490820797342432,OLS
Li,1.0,30,-0.8527052862340179,1.8503528155499347,Huber
Li,2.0,33,-0.831230268242541,1.715866592933033,Huber
Li,3.0,230,-0.7316141783114151,1.5034408610370584,Huber
Li,4.0,2782,-0.7280969915124934,1.4753244133439836,Huber
Li,5.0,1056,-0.6404562262526196,1.362661896747949,Huber
Li,6.0,1933,-0.5730571605994477,1.2453971908963142,Huber
Li,7.0,46,-0.5526381808921894,1.285769186013374,Huber
Li,8.0,33,-0.5112443594780889,1.232385760109928,Huber
Na,1.0,5,-0.5719993079332059,1.4171335184670841,Huber
Na,2.0,32,-0.6027469173205121,1.4767014028189243,Huber
Na,3.0,85,-0.6035175279029837,1.509239790591046,Huber
Na,4.0,387,-0.6276896572354752,1.5395910356014568,Huber
Na,5.0,502,-0.5878271633922757,1.4592444334274686,Huber
Na,6.0,2396,-0.4935354346718063,1.2729862774901464,Huber
Na,7.0,759,-0.4809486857424795,1.241201096980795,Huber
Na,8.0,1170,-0.4744349104137354,1.2375190763592212,Huber
Na,9.0,150,-0.462214598635562,1.2306379552333002,Huber
Na,10.0,33,-0.41397123992082224,1.143512999399574,Huber
Na,11.0,7,-0.46393718316626825,1.2814198513730353,Huber
Na,12.0,79,-0.3928307071464864,1.105503624063488,Huber
K,1.0,15,-0.673171997932106,1.9867999183720997,Huber
K,2.0,37,-0.7608367970206888,2.1178834874049866,Huber
K,3.0,41,-0.7183370087442659,2.0306870737968667,Huber
K,4.0,133,-0.6010674863722391,1.7116360326593187,Huber
K,5.0,151,-0.5893218987244475,1.680141099391562,Huber
K,6.0,360,-0.5288283726339224,1.529616660988866,Huber
K,7.0,230,-0.5054403435241114,1.474069885096399,Huber
K,8.0,295,-0.46937798574037826,1.3890596144389407,Huber
K,9.0,267,-0.44559169130333454,1.3395344693750812,Huber
K,10.0,188,-0.42887822792278646,1.3017079244097158,Huber
K,11.0,25,-0.3875876441518583,1.2082346880384074,Huber
K,12.0,109,-0.39018338563275073,1.1991707738977606,Huber
K,13.0,11,-0.3968608943605387,1.2252566324785965,Huber
K,15.0,8,-0.4013028497217986,1.2380547237627553,Huber
Rb,1.0,8,-1.1263218041771599,2.950198712725711,Huber
Rb,2.0,13,-0.725285408251752,2.1108071898886673,Huber
Rb,3.0,25,-0.6343683083780611,1.900298346996831,Huber
Rb,4.0,83,-0.6291417998493624,1.8914695294812884,Huber
Rb,5.0,98,-0.5990576338039061,1.8061530574585953,Huber
Rb,6.0,136,-0.5446220216089618,1.6706372925512074,Huber
Rb,7.0,71,-0.5155701318988856,1.5795025913905447,Huber
Rb,8.0,116,-0.4502899217317799,1.4104583176902339,Huber
Rb,9.0,97,-0.45110762105764074,1.412147506523156,Huber
