element,group,method,R0_star,B_star,spread_var_star,spread_std_star,n_lines
Li,group1,OLS,1.7575191232865308,0.27775128366645324,0.003070311142897438,0.055410388402333345,8
Na,group1,OLS,1.7858375170370577,0.40997129324692355,0.0003852935477171162,0.01962889573351278,12
K,group1,OLS,2.53543667193959,0.21304692429272165,0.00034413776219828615,0.01855095043921702,14
Rb,group1,OLS,2.4247456823467664,0.3333193442011326,0.0006127515372525958,0.024753818639809817,13
Cs,group1,OLS,2.8325011238217317,0.23110356238069985,6.128948965214317e-05,0.007828760416064805,12
Be,group2,OLS,1.4298366325320626,0.3104794809449296,0.0,0.0,2
Mg,group2,OLS,1.577475246578897,0.5147032465108595,0.00037854969121451157,0.019456353492227456,4
Ca,group2,OLS,1.9899855500316095,0.40442324087343046,0.0005401848529911286,0.023241877140005893,10
Sr,group2,OLS,2.1935196954992358,0.35832134816164246,0.0009896535418974764,0.031458759382681896,12
Ba,group2,OLS,2.432713386832774,0.32887406293806776,4.718482198015392e-05,0.006869120903008908,13
Li,group1,Huber,1.7035449127232458,0.3045261357467689,0.0028691846407054035,0.05356477051855448,8
Na,group1,Huber,1.8237134522097211,0.3876724167792762,0.00033887466120233867,0.018408548590324515,12
K,group1,Huber,2.525442097781713,0.21458864049223822,0.0005520966828669279,0.023496737706901524,14
Rb,group1,Huber,2.3521441587437217,0.36535436136055544,0.0012635255884195901,0.03554610510899317,13
Cs,group1,Huber,2.846253251317862,0.22036640187310189,8.278003052695994e-05,0.009098353176644657,12
Be,group2,Huber,1.4469337973519691,0.28242961321937754,0.0,0.0,2
Mg,group2,Huber,1.612714192476809,0.47450721253807165,0.00032867865689167,0.018129496873649585,4
Ca,group2,Huber,1.9796513868405834,0.40711817128642414,0.00037140550935177457,0.019271883907697622,10
Sr,group2,Huber,2.204713019404056,0.3488027279380327,0.0006876121119720678,0.026222359008526822,12
Ba,group2,Huber,2.3728833966627976,0.3638230999424841,0.00010727149157856072,0.01035719515981816,13
Li,group1,RANSAC,1.6351039430245542,0.35267679963859966,0.0029032818075874498,0.0538821102740738,8
Na,group1,RANSAC,1.8050326174255535,0.3963086298064702,0.00041576453085408806,0.02039030482494286,12
K,group1,RANSAC,2.5304192221892645,0.2133353613845873,0.0005927604516453637,0.024346672291000338,14
Rb,group1,RANSAC,2.4345644431073437,0.3265960481763403,0.0006547240813152227,0.025587576698765803,13
Cs,group1,RANSAC,2.8140730201413886,0.23866830087143287,8.836984491355143e-05,0.009400523651028779,12
Be,group2,RANSAC,1.4145080865752397,0.33256398191353087,0.0,0.0,2
Mg,group2,RANSAC,1.5617997340926002,0.5254255132815595,0.0004613700960400857,0.02147952737003507,4
Ca,group2,RANSAC,1.988864633099045,0.4042111169905003,0.0005043078438184192,0.02245679950078415,10
Sr,group2,RANSAC,2.2180911712065057,0.33898154007581593,0.0008635824849249434,0.029386773979546366,12
Ba,group2,RANSAC,2.3378774277241847,0.3887489514652449,0.00033145830612920014,0.01820599643329637,13
